# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
(-27/4| 15/4),-6.75000, 3.75000, -9.62694,  0.61757,  118,                  3+5+8+12,
(  3  |-27/4), 3.00000,-6.75000,  4.27864, -8.64596,  118,                  1+2+4+11,
(-27/4|  3  ),-6.75000, 3.00000, -9.62694, -0.61757,  118,                  6+7+9+10,
( -3  |-15/4),-3.00000,-3.75000, -4.27864, -8.64596,  118,                  1+2+4+11,
(-15/4| -3  ),-3.75000,-3.00000, -5.34830, -8.02839,  118,                  6+7+9+10,
( 23/4|  1/4), 5.75000, 0.25000,  8.20073,  5.14641,  119,                  3+5+8+12,
(  1/4| 23/4), 0.25000, 5.75000,  0.35655,  9.67524,  119,                  3+5+8+12,
(  6  | -1/4), 6.00000,-0.25000,  8.55728,  4.52884,  119,                  1+2+4+11,
( -1/4|  6  ),-0.25000, 6.00000, -0.35655,  9.67524,  119,                  6+7+9+10,
(  6  |-23/4), 6.00000,-5.75000,  8.55728, -4.52884,  119,                  1+2+4+11,
(-23/4|  6  ),-5.75000, 6.00000, -8.20073,  5.14641,  119,                  6+7+9+10,
( 23/4| -6  ), 5.75000,-6.00000,  8.20073, -5.14641,  119,                  6+7+9+10,
( -6  | 23/4),-6.00000, 5.75000, -8.55728,  4.52884,  119,                  1+2+4+11,
(  1/4| -6  ), 0.25000,-6.00000,  0.35655, -9.67524,  119,                  6+7+9+10,
( -6  |  1/4),-6.00000, 0.25000, -8.55728, -4.52884,  119,                  1+2+4+11,
( -1/4|-23/4),-0.25000,-5.75000, -0.35655, -9.67524,  119,                  3+5+8+12,
(-23/4| -1/4),-5.75000,-0.25000, -8.20073, -5.14641,  119,                  3+5+8+12,
(  4  | 11/4), 4.00000, 2.75000,  5.70486,  7.82254,  120,                  1+2+4+11,
( 11/4|  4  ), 2.75000, 4.00000,  3.92209,  8.85182,  120,                  6+7+9+10,
( 27/4|-11/4), 6.75000,-2.75000,  9.62694,  1.02928,  120,                  3+5+8+12,
(-11/4| 27/4),-2.75000, 6.75000, -3.92209,  8.85182,  120,                  3+5+8+12,
( 27/4| -4  ), 6.75000,-4.00000,  9.62694, -1.02928,  120,                  6+7+9+10,
( -4  | 27/4),-4.00000, 6.75000, -5.70486,  7.82254,  120,                  1+2+4+11,
(  4  |-27/4), 4.00000,-6.75000,  5.70486, -7.82254,  120,                  1+2+4+11,
(-27/4|  4  ),-6.75000, 4.00000, -9.62694,  1.02928,  120,                  6+7+9+10,
( 11/4|-27/4), 2.75000,-6.75000,  3.92209, -8.85182,  120,                  3+5+8+12,
(-27/4| 11/4),-6.75000, 2.75000, -9.62694, -1.02928,  120,                  3+5+8+12,
(-11/4| -4  ),-2.75000,-4.00000, -3.92209, -8.85182,  120,                  6+7+9+10,
( -4  |-11/4),-4.00000,-2.75000, -5.70486, -7.82254,  120,                  1+2+4+11,
(  5  |  3/2), 5.00000, 1.50000,  7.13107,  6.58740,  121,                  1+2+4+11,
(  3/2|  5  ), 1.50000, 5.00000,  2.13932,  9.46939,  121,                  6+7+9+10,
( 13/2| -3/2), 6.50000,-1.50000,  9.27039,  2.88199,  121,                  3+5+8+12,
( -3/2| 13/2),-1.50000, 6.50000, -2.13932,  9.46939,  121,                  3+5+8+12,
( 13/2| -5  ), 6.50000,-5.00000,  9.27039, -2.88199,  121,                  6+7+9+10,
( -5  | 13/2),-5.00000, 6.50000, -7.13107,  6.58740,  121,                  1+2+4+11,
(  5  |-13/2), 5.00000,-6.50000,  7.13107, -6.58740,  121,                  1+2+4+11,
(-13/2|  5  ),-6.50000, 5.00000, -9.27039,  2.88199,  121,                  6+7+9+10,
(  3/2|-13/2), 1.50000,-6.50000,  2.13932, -9.46939,  121,                  3+5+8+12,
(-13/2|  3/2),-6.50000, 1.50000, -9.27039, -2.88199,  121,                  3+5+8+12,
( -3/2| -5  ),-1.50000,-5.00000, -2.13932, -9.46939,  121,                  6+7+9+10,
( -5  | -3/2),-5.00000,-1.50000, -7.13107, -6.58740,  121,                  1+2+4+11,
(  6  |  0  ), 6.00000, 0.00000,  8.55728,  4.94055,  122,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  |  6  ), 0.00000, 6.00000,  0.00000,  9.88110,  122,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -6  ), 6.00000,-6.00000,  8.55728, -4.94055,  122,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  6  ),-6.00000, 6.00000, -8.55728,  4.94055,  122,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  | -6  ), 0.00000,-6.00000,  0.00000, -9.88110,  122,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  0  ),-6.00000, 0.00000, -8.55728, -4.94055,  122,1+2+3+4+5+6+7+8+9+10+11+12,
( 19/4|  2  ), 4.75000, 2.00000,  6.77452,  7.20497,  123,                  6+7+9+10,
(  2  | 19/4), 2.00000, 4.75000,  2.85243,  9.46939,  123,                  1+2+4+11,
( 27/4| -2  ), 6.75000,-2.00000,  9.62694,  2.26442,  123,                  6+7+9+10,
( -2  | 27/4),-2.00000, 6.75000, -2.85243,  9.46939,  123,                  1+2+4+11,
( 27/4|-19/4), 6.75000,-4.75000,  9.62694, -2.26442,  123,                  3+5+8+12,
(-19/4| 27/4),-4.75000, 6.75000, -6.77452,  7.20497,  123,                  3+5+8+12,
( 19/4|-27/4), 4.75000,-6.75000,  6.77452, -7.20497,  123,                  3+5+8+12,
(-27/4| 19/4),-6.75000, 4.75000, -9.62694,  2.26442,  123,                  3+5+8+12,
(  2  |-27/4), 2.00000,-6.75000,  2.85243, -9.46939,  123,                  1+2+4+11,
(-27/4|  2  ),-6.75000, 2.00000, -9.62694, -2.26442,  123,                  6+7+9+10,
( -2  |-19/4),-2.00000,-4.75000, -2.85243, -9.46939,  123,                  1+2+4+11,
(-19/4| -2  ),-4.75000,-2.00000, -6.77452, -7.20497,  123,                  6+7+9+10,
(  7/2|  7/2), 3.50000, 3.50000,  4.99175,  8.64596,  124,                  3+5+8+12,
(  7  | -7/2), 7.00000,-3.50000,  9.98350, -0.00000,  124,                  1+2+4+11,
( -7/2|  7  ),-3.50000, 7.00000, -4.99175,  8.64596,  124,                  6+7+9+10,
(  7/2| -7  ), 3.50000,-7.00000,  4.99175, -8.64596,  124,                  6+7+9+10,
( -7  |  7/2),-7.00000, 3.50000, -9.98350,  0.00000,  124,                  1+2+4+11,
( -7/2| -7/2),-3.50000,-3.50000, -4.99175, -8.64596,  124,                  3+5+8+12,
( 11/2|  1  ), 5.50000, 1.00000,  7.84418,  6.17569,  125,                  6+7+9+10,
(  1  | 11/2), 1.00000, 5.50000,  1.42621,  9.88110,  125,                  1+2+4+11,
( 13/2| -1  ), 6.50000,-1.00000,  9.27039,  3.70541,  125,                  6+7+9+10,
( -1  | 13/2),-1.00000, 6.50000, -1.42621,  9.88110,  125,                  1+2+4+11,
( 13/2|-11/2), 6.50000,-5.50000,  9.27039, -3.70541,  125,                  3+5+8+12,
(-11/2| 13/2),-5.50000, 6.50000, -7.84418,  6.17569,  125,                  3+5+8+12,
( 11/2|-13/2), 5.50000,-6.50000,  7.84418, -6.17569,  125,                  3+5+8+12,
(-13/2| 11/2),-6.50000, 5.50000, -9.27039,  3.70541,  125,                  3+5+8+12,
(  1  |-13/2), 1.00000,-6.50000,  1.42621, -9.88110,  125,                  1+2+4+11,
(-13/2|  1  ),-6.50000, 1.00000, -9.27039, -3.70541,  125,                  6+7+9+10,
( -1  |-11/2),-1.00000,-5.50000, -1.42621, -9.88110,  125,                  1+2+4+11,
(-11/2| -1  ),-5.50000,-1.00000, -7.84418, -6.17569,  125,                  6+7+9+10,
( 15/4| 13/4), 3.75000, 3.25000,  5.34830,  8.44011,  126,                  3+5+8+12,
( 13/4| 15/4), 3.25000, 3.75000,  4.63520,  8.85182,  126,                  3+5+8+12,
(  7  |-13/4), 7.00000,-3.25000,  9.98350,  0.41171,  126,                  1+2+4+11,
(-13/4|  7  ),-3.25000, 7.00000, -4.63520,  8.85182,  126,                  6+7+9+10,
(  7  |-15/4), 7.00000,-3.75000,  9.98350, -0.41171,  126,                  1+2+4+11,
(-15/4|  7  ),-3.75000, 7.00000, -5.34830,  8.44011,  126,                  6+7+9+10,
( 15/4| -7  ), 3.75000,-7.00000,  5.34830, -8.44011,  126,                  6+7+9+10,
( -7  | 15/4),-7.00000, 3.75000, -9.98350,  0.41171,  126,                  1+2+4+11,
( 13/4| -7  ), 3.25000,-7.00000,  4.63520, -8.85182,  126,                  6+7+9+10,
( -7  | 13/4),-7.00000, 3.25000, -9.98350, -0.41171,  126,                  1+2+4+11,
(-13/4|-15/4),-3.25000,-3.75000, -4.63520, -8.85182,  126,                  3+5+8+12,
(-15/4|-13/4),-3.75000,-3.25000, -5.34830, -8.44011,  126,                  3+5+8+12,
(  5  |  7/4), 5.00000, 1.75000,  7.13107,  6.99911,  127,                  1+2+4+11,
(  7/4|  5  ), 1.75000, 5.00000,  2.49587,  9.67524,  127,                  6+7+9+10,
( 27/4| -7/4), 6.75000,-1.75000,  9.62694,  2.67613,  127,                  3+5+8+12,
( -7/4| 27/4),-1.75000, 6.75000, -2.49587,  9.67524,  127,                  3+5+8+12,
( 27/4| -5  ), 6.75000,-5.00000,  9.62694, -2.67613,  127,                  6+7+9+10,
( -5  | 27/4),-5.00000, 6.75000, -7.13107,  6.99911,  127,                  1+2+4+11,
(  5  |-27/4), 5.00000,-6.75000,  7.13107, -6.99911,  127,                  1+2+4+11,
(-27/4|  5  ),-6.75000, 5.00000, -9.62694,  2.67613,  127,                  6+7+9+10,
(  7/4|-27/4), 1.75000,-6.75000,  2.49587, -9.67524,  127,                  3+5+8+12,
(-27/4|  7/4),-6.75000, 1.75000, -9.62694, -2.67613,  127,                  3+5+8+12,
( -7/4| -5  ),-1.75000,-5.00000, -2.49587, -9.67524,  127,                  6+7+9+10,
( -5  | -7/4),-5.00000,-1.75000, -7.13107, -6.99911,  127,                  1+2+4+11,
(  4  |  3  ), 4.00000, 3.00000,  5.70486,  8.23425,  128,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  |  4  ), 3.00000, 4.00000,  4.27864,  9.05767,  128,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -3  ), 7.00000,-3.00000,  9.98350,  0.82342,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  7  ),-3.00000, 7.00000, -4.27864,  9.05767,  128,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -4  ), 7.00000,-4.00000,  9.98350, -0.82342,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  7  ),-4.00000, 7.00000, -5.70486,  8.23425,  128,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -7  ), 4.00000,-7.00000,  5.70486, -8.23425,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  4  ),-7.00000, 4.00000, -9.98350,  0.82342,  128,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -7  ), 3.00000,-7.00000,  4.27864, -9.05767,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  3  ),-7.00000, 3.00000, -9.98350, -0.82342,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  | -4  ),-3.00000,-4.00000, -4.27864, -9.05767,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  | -3  ),-4.00000,-3.00000, -5.70486, -8.23425,  128,1+2+3+4+5+6+7+8+9+10+11+12,
( 17/4| 11/4), 4.25000, 2.75000,  6.06141,  8.02839,  129,                  3+5+8+12,
( 11/4| 17/4), 2.75000, 4.25000,  3.92209,  9.26353,  129,                  3+5+8+12,
(  7  |-11/4), 7.00000,-2.75000,  9.98350,  1.23514,  129,                  1+2+4+11,
(-11/4|  7  ),-2.75000, 7.00000, -3.92209,  9.26353,  129,                  6+7+9+10,
(  7  |-17/4), 7.00000,-4.25000,  9.98350, -1.23514,  129,                  1+2+4+11,
(-17/4|  7  ),-4.25000, 7.00000, -6.06141,  8.02839,  129,                  6+7+9+10,
( 17/4| -7  ), 4.25000,-7.00000,  6.06141, -8.02839,  129,                  6+7+9+10,
( -7  | 17/4),-7.00000, 4.25000, -9.98350,  1.23514,  129,                  1+2+4+11,
( 11/4| -7  ), 2.75000,-7.00000,  3.92209, -9.26353,  129,                  6+7+9+10,
( -7  | 11/4),-7.00000, 2.75000, -9.98350, -1.23514,  129,                  1+2+4+11,
(-11/4|-17/4),-2.75000,-4.25000, -3.92209, -9.26353,  129,                  3+5+8+12,
(-17/4|-11/4),-4.25000,-2.75000, -6.06141, -8.02839,  129,                  3+5+8+12,
(  6  |  1/4), 6.00000, 0.25000,  8.55728,  5.35226,  130,                  1+2+4+11,
(  1/4|  6  ), 0.25000, 6.00000,  0.35655, 10.08696,  130,                  6+7+9+10,
( 25/4| -1/4), 6.25000,-0.25000,  8.91384,  4.73469,  130,                  3+5+8+12,
( -1/4| 25/4),-0.25000, 6.25000, -0.35655, 10.08696,  130,                  3+5+8+12,
( 25/4| -6  ), 6.25000,-6.00000,  8.91384, -4.73469,  130,                  6+7+9+10,
( -6  | 25/4),-6.00000, 6.25000, -8.55728,  5.35226,  130,                  1+2+4+11,
(  6  |-25/4), 6.00000,-6.25000,  8.55728, -5.35226,  130,                  1+2+4+11,
(-25/4|  6  ),-6.25000, 6.00000, -8.91384,  4.73469,  130,                  6+7+9+10,
(  1/4|-25/4), 0.25000,-6.25000,  0.35655,-10.08696,  130,                  3+5+8+12,
(-25/4|  1/4),-6.25000, 0.25000, -8.91384, -4.73469,  130,                  3+5+8+12,
( -1/4| -6  ),-0.25000,-6.00000, -0.35655,-10.08696,  130,                  6+7+9+10,
( -6  | -1/4),-6.00000,-0.25000, -8.55728, -5.35226,  130,                  1+2+4+11,
(  9/2|  5/2), 4.50000, 2.50000,  6.41796,  7.82254,  131,                  3+5+8+12,
(  5/2|  9/2), 2.50000, 4.50000,  3.56553,  9.46939,  131,                  3+5+8+12,
(  7  | -5/2), 7.00000,-2.50000,  9.98350,  1.64685,  131,                  1+2+4+11,
( -5/2|  7  ),-2.50000, 7.00000, -3.56553,  9.46939,  131,                  6+7+9+10,
(  7  | -9/2), 7.00000,-4.50000,  9.98350, -1.64685,  131,                  1+2+4+11,
( -9/2|  7  ),-4.50000, 7.00000, -6.41796,  7.82254,  131,                  6+7+9+10,
(  9/2| -7  ), 4.50000,-7.00000,  6.41796, -7.82254,  131,                  6+7+9+10,
( -7  |  9/2),-7.00000, 4.50000, -9.98350,  1.64685,  131,                  1+2+4+11,
(  5/2| -7  ), 2.50000,-7.00000,  3.56553, -9.46939,  131,                  6+7+9+10,
( -7  |  5/2),-7.00000, 2.50000, -9.98350, -1.64685,  131,                  1+2+4+11,
( -5/2| -9/2),-2.50000,-4.50000, -3.56553, -9.46939,  131,                  3+5+8+12,
( -9/2| -5/2),-4.50000,-2.50000, -6.41796, -7.82254,  131,                  3+5+8+12,
( 19/4|  9/4), 4.75000, 2.25000,  6.77452,  7.61668,  132,                  3+5+8+12,
(  9/4| 19/4), 2.25000, 4.75000,  3.20898,  9.67524,  132,                  3+5+8+12,
(  7  | -9/4), 7.00000,-2.25000,  9.98350,  2.05856,  132,                  1+2+4+11,
( -9/4|  7  ),-2.25000, 7.00000, -3.20898,  9.67524,  132,                  6+7+9+10,
(  7  |-19/4), 7.00000,-4.75000,  9.98350, -2.05856,  132,                  1+2+4+11,
(-19/4|  7  ),-4.75000, 7.00000, -6.77452,  7.61668,  132,                  6+7+9+10,
( 19/4| -7  ), 4.75000,-7.00000,  6.77452, -7.61668,  132,                  6+7+9+10,
( -7  | 19/4),-7.00000, 4.75000, -9.98350,  2.05856,  132,                  1+2+4+11,
(  9/4| -7  ), 2.25000,-7.00000,  3.20898, -9.67524,  132,                  6+7+9+10,
( -7  |  9/4),-7.00000, 2.25000, -9.98350, -2.05856,  132,                  1+2+4+11,
( -9/4|-19/4),-2.25000,-4.75000, -3.20898, -9.67524,  132,                  3+5+8+12,
(-19/4| -9/4),-4.75000,-2.25000, -6.77452, -7.61668,  132,                  3+5+8+12,
(  5  |  2  ), 5.00000, 2.00000,  7.13107,  7.41082,  133,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  |  5  ), 2.00000, 5.00000,  2.85243,  9.88110,  133,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -2  ), 7.00000,-2.00000,  9.98350,  2.47027,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  |  7  ),-2.00000, 7.00000, -2.85243,  9.88110,  133,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -5  ), 7.00000,-5.00000,  9.98350, -2.47027,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  7  ),-5.00000, 7.00000, -7.13107,  7.41082,  133,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -7  ), 5.00000,-7.00000,  7.13107, -7.41082,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  5  ),-7.00000, 5.00000, -9.98350,  2.47027,  133,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  | -7  ), 2.00000,-7.00000,  2.85243, -9.88110,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  2  ),-7.00000, 2.00000, -9.98350, -2.47027,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  | -5  ),-2.00000,-5.00000, -2.85243, -9.88110,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  | -2  ),-5.00000,-2.00000, -7.13107, -7.41082,  133,1+2+3+4+5+6+7+8+9+10+11+12,
( 25/4|  0  ), 6.25000, 0.00000,  8.91384,  5.14641,  134,                  6+7+9+10,
(  0  | 25/4), 0.00000, 6.25000,  0.00000, 10.29281,  134,                  1+2+4+11,
( 25/4|-25/4), 6.25000,-6.25000,  8.91384, -5.14641,  134,                  3+5+8+12,
(-25/4| 25/4),-6.25000, 6.25000, -8.91384,  5.14641,  134,                  3+5+8+12,
(  0  |-25/4), 0.00000,-6.25000,  0.00000,-10.29281,  134,                  1+2+4+11,
(-25/4|  0  ),-6.25000, 0.00000, -8.91384, -5.14641,  134,                  6+7+9+10,
(  6  |  1/2), 6.00000, 0.50000,  8.55728,  5.76397,  135,                  1+2+4+11,
(  1/2|  6  ), 0.50000, 6.00000,  0.71311, 10.29281,  135,                  6+7+9+10,
( 13/2| -1/2), 6.50000,-0.50000,  9.27039,  4.52884,  135,                  3+5+8+12,
( -1/2| 13/2),-0.50000, 6.50000, -0.71311, 10.29281,  135,                  3+5+8+12,
( 13/2| -6  ), 6.50000,-6.00000,  9.27039, -4.52884,  135,                  6+7+9+10,
( -6  | 13/2),-6.00000, 6.50000, -8.55728,  5.76397,  135,                  1+2+4+11,
(  6  |-13/2), 6.00000,-6.50000,  8.55728, -5.76397,  135,                  1+2+4+11,
(-13/2|  6  ),-6.50000, 6.00000, -9.27039,  4.52884,  135,                  6+7+9+10,
(  1/2|-13/2), 0.50000,-6.50000,  0.71311,-10.29281,  135,                  3+5+8+12,
(-13/2|  1/2),-6.50000, 0.50000, -9.27039, -4.52884,  135,                  3+5+8+12,
( -1/2| -6  ),-0.50000,-6.00000, -0.71311,-10.29281,  135,                  6+7+9+10,
( -6  | -1/2),-6.00000,-0.50000, -8.55728, -5.76397,  135,                  1+2+4+11,
(  4  | 13/4), 4.00000, 3.25000,  5.70486,  8.64596,  136,                  1+2+4+11,
( 13/4|  4  ), 3.25000, 4.00000,  4.63520,  9.26353,  136,                  6+7+9+10,
( 29/4|-13/4), 7.25000,-3.25000, 10.34005,  0.61757,  136,                  3+5+8+12,
(-13/4| 29/4),-3.25000, 7.25000, -4.63520,  9.26353,  136,                  3+5+8+12,
( 29/4| -4  ), 7.25000,-4.00000, 10.34005, -0.61757,  136,                  6+7+9+10,
( -4  | 29/4),-4.00000, 7.25000, -5.70486,  8.64596,  136,                  1+2+4+11,
(  4  |-29/4), 4.00000,-7.25000,  5.70486, -8.64596,  136,                  1+2+4+11,
(-29/4|  4  ),-7.25000, 4.00000,-10.34005,  0.61757,  136,                  6+7+9+10,
( 13/4|-29/4), 3.25000,-7.25000,  4.63520, -9.26353,  136,                  3+5+8+12,
(-29/4| 13/4),-7.25000, 3.25000,-10.34005, -0.61757,  136,                  3+5+8+12,
(-13/4| -4  ),-3.25000,-4.00000, -4.63520, -9.26353,  136,                  6+7+9+10,
( -4  |-13/4),-4.00000,-3.25000, -5.70486, -8.64596,  136,                  1+2+4+11,
( 21/4|  7/4), 5.25000, 1.75000,  7.48762,  7.20497,  137,                  3+5+8+12,
(  7/4| 21/4), 1.75000, 5.25000,  2.49587, 10.08696,  137,                  3+5+8+12,
(  7  | -7/4), 7.00000,-1.75000,  9.98350,  2.88199,  137,                  1+2+4+11,
( -7/4|  7  ),-1.75000, 7.00000, -2.49587, 10.08696,  137,                  6+7+9+10,
(  7  |-21/4), 7.00000,-5.25000,  9.98350, -2.88199,  137,                  1+2+4+11,
(-21/4|  7  ),-5.25000, 7.00000, -7.48762,  7.20497,  137,                  6+7+9+10,
( 21/4| -7  ), 5.25000,-7.00000,  7.48762, -7.20497,  137,                  6+7+9+10,
( -7  | 21/4),-7.00000, 5.25000, -9.98350,  2.88199,  137,                  1+2+4+11,
(  7/4| -7  ), 1.75000,-7.00000,  2.49587,-10.08696,  137,                  6+7+9+10,
( -7  |  7/4),-7.00000, 1.75000, -9.98350, -2.88199,  137,                  1+2+4+11,
( -7/4|-21/4),-1.75000,-5.25000, -2.49587,-10.08696,  137,                  3+5+8+12,
(-21/4| -7/4),-5.25000,-1.75000, -7.48762, -7.20497,  137,                  3+5+8+12,
( 17/4|  3  ), 4.25000, 3.00000,  6.06141,  8.44011,  138,                  6+7+9+10,
(  3  | 17/4), 3.00000, 4.25000,  4.27864,  9.46939,  138,                  1+2+4+11,
( 29/4| -3  ), 7.25000,-3.00000, 10.34005,  1.02928,  138,                  6+7+9+10,
( -3  | 29/4),-3.00000, 7.25000, -4.27864,  9.46939,  138,                  1+2+4+11,
( 29/4|-17/4), 7.25000,-4.25000, 10.34005, -1.02928,  138,                  3+5+8+12,
(-17/4| 29/4),-4.25000, 7.25000, -6.06141,  8.44011,  138,                  3+5+8+12,
( 17/4|-29/4), 4.25000,-7.25000,  6.06141, -8.44011,  138,                  3+5+8+12,
(-29/4| 17/4),-7.25000, 4.25000,-10.34005,  1.02928,  138,                  3+5+8+12,
(  3  |-29/4), 3.00000,-7.25000,  4.27864, -9.46939,  138,                  1+2+4+11,
(-29/4|  3  ),-7.25000, 3.00000,-10.34005, -1.02928,  138,                  6+7+9+10,
( -3  |-17/4),-3.00000,-4.25000, -4.27864, -9.46939,  138,                  1+2+4+11,
(-17/4| -3  ),-4.25000,-3.00000, -6.06141, -8.44011,  138,                  6+7+9+10,
( 23/4|  1  ), 5.75000, 1.00000,  8.20073,  6.38154,  139,                  6+7+9+10,
(  1  | 23/4), 1.00000, 5.75000,  1.42621, 10.29281,  139,                  1+2+4+11,
( 27/4| -1  ), 6.75000,-1.00000,  9.62694,  3.91127,  139,                  6+7+9+10,
( -1  | 27/4),-1.00000, 6.75000, -1.42621, 10.29281,  139,                  1+2+4+11,
( 27/4|-23/4), 6.75000,-5.75000,  9.62694, -3.91127,  139,                  3+5+8+12,
(-23/4| 27/4),-5.75000, 6.75000, -8.20073,  6.38154,  139,                  3+5+8+12,
( 23/4|-27/4), 5.75000,-6.75000,  8.20073, -6.38154,  139,                  3+5+8+12,
(-27/4| 23/4),-6.75000, 5.75000, -9.62694,  3.91127,  139,                  3+5+8+12,
(  1  |-27/4), 1.00000,-6.75000,  1.42621,-10.29281,  139,                  1+2+4+11,
(-27/4|  1  ),-6.75000, 1.00000, -9.62694, -3.91127,  139,                  6+7+9+10,
( -1  |-23/4),-1.00000,-5.75000, -1.42621,-10.29281,  139,                  1+2+4+11,
(-23/4| -1  ),-5.75000,-1.00000, -8.20073, -6.38154,  139,                  6+7+9+10,
( 11/2|  3/2), 5.50000, 1.50000,  7.84418,  6.99911,  140,                  3+5+8+12,
(  3/2| 11/2), 1.50000, 5.50000,  2.13932, 10.29281,  140,                  3+5+8+12,
(  7  | -3/2), 7.00000,-1.50000,  9.98350,  3.29370,  140,                  1+2+4+11,
( -3/2|  7  ),-1.50000, 7.00000, -2.13932, 10.29281,  140,                  6+7+9+10,
(  7  |-11/2), 7.00000,-5.50000,  9.98350, -3.29370,  140,                  1+2+4+11,
(-11/2|  7  ),-5.50000, 7.00000, -7.84418,  6.99911,  140,                  6+7+9+10,
( 11/2| -7  ), 5.50000,-7.00000,  7.84418, -6.99911,  140,                  6+7+9+10,
( -7  | 11/2),-7.00000, 5.50000, -9.98350,  3.29370,  140,                  1+2+4+11,
(  3/2| -7  ), 1.50000,-7.00000,  2.13932,-10.29281,  140,                  6+7+9+10,
( -7  |  3/2),-7.00000, 1.50000, -9.98350, -3.29370,  140,                  1+2+4+11,
( -3/2|-11/2),-1.50000,-5.50000, -2.13932,-10.29281,  140,                  3+5+8+12,
(-11/2| -3/2),-5.50000,-1.50000, -7.84418, -6.99911,  140,                  3+5+8+12,
(  6  |  3/4), 6.00000, 0.75000,  8.55728,  6.17569,  141,                  1+2+4+11,
