# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( -9/4 | -5/4 ),-2.25000,-1.25000, -5.55815, -6.77456,  178,        3+6,
(  9/4 |  5/4 ), 2.25000, 1.25000,  5.55815,  6.77456,  179,        3+6,
(  7/2 | -5/4 ), 3.50000,-1.25000,  8.64602,  1.42622,  179,        1+2,
( -9/4 |  7/2 ),-2.25000, 3.50000, -5.55815,  6.77456,  179,        4+5,
( -7/2 |  9/4 ),-3.50000, 2.25000, -8.64602,  1.42622,  179,        1+2,
(  5/4 | -7/2 ), 1.25000,-3.50000,  3.08786, -8.20078,  179,        4+5,
( -5/4 | -9/4 ),-1.25000,-2.25000, -3.08786, -8.20078,  179,        3+6,
( 31/12|  5/6 ), 2.58333, 0.83333,  6.38159,  6.06145,  180,        4+5,
( 41/12| -5/6 ), 3.41667,-0.83333,  8.44016,  2.49589,  180,        4+5,
(-31/12| 41/12),-2.58333, 3.41667, -6.38159,  6.06145,  180,        3+6,
(-41/12| 31/12),-3.41667, 2.58333, -8.44016,  2.49589,  180,        3+6,
(  5/6 |-41/12), 0.83333,-3.41667,  2.05858, -8.55734,  180,        1+2,
( -5/6 |-31/12),-0.83333,-2.58333, -2.05858, -8.55734,  180,        1+2,
(  5/6 | 31/12), 0.83333, 2.58333,  2.05858,  8.55734,  181,        1+2,
( -5/6 | 41/12),-0.83333, 3.41667, -2.05858,  8.55734,  181,        1+2,
( 41/12|-31/12), 3.41667,-2.58333,  8.44016, -2.49589,  181,        3+6,
( 31/12|-41/12), 2.58333,-3.41667,  6.38159, -6.06145,  181,        3+6,
(-41/12|  5/6 ),-3.41667, 0.83333, -8.44016, -2.49589,  181,        4+5,
(-31/12| -5/6 ),-2.58333,-0.83333, -6.38159, -6.06145,  181,        4+5,
(  5/2 |  1   ), 2.50000, 1.00000,  6.17573,  6.41800,  182,        4+5,
(  7/2 | -1   ), 3.50000,-1.00000,  8.64602,  2.13933,  182,        4+5,
( -5/2 |  7/2 ),-2.50000, 3.50000, -6.17573,  6.41800,  182,        3+6,
( -7/2 |  5/2 ),-3.50000, 2.50000, -8.64602,  2.13933,  182,        3+6,
(  1   | -7/2 ), 1.00000,-3.50000,  2.47029, -8.55734,  182,        1+2,
( -1   | -5/2 ),-1.00000,-2.50000, -2.47029, -8.55734,  182,        1+2,
(  1   |  5/2 ), 1.00000, 2.50000,  2.47029,  8.55734,  183,        1+2,
( -1   |  7/2 ),-1.00000, 3.50000, -2.47029,  8.55734,  183,        1+2,
(  7/2 | -5/2 ), 3.50000,-2.50000,  8.64602, -2.13933,  183,        3+6,
(  5/2 | -7/2 ), 2.50000,-3.50000,  6.17573, -6.41800,  183,        3+6,
( -7/2 |  1   ),-3.50000, 1.00000, -8.64602, -2.13933,  183,        4+5,
( -5/2 | -1   ),-2.50000,-1.00000, -6.17573, -6.41800,  183,        4+5,
( 13/6 | 17/12), 2.16667, 1.41667,  5.35230,  7.13112,  184,        1+2,
( 43/12|-17/12), 3.58333,-1.41667,  8.85188,  1.06967,  184,        3+6,
(-13/6 | 43/12),-2.16667, 3.58333, -5.35230,  7.13112,  184,        1+2,
(-43/12| 13/6 ),-3.58333, 2.16667, -8.85188,  1.06967,  184,        4+5,
( 17/12|-43/12), 1.41667,-3.58333,  3.49958, -8.20078,  184,        3+6,
(-17/12|-13/6 ),-1.41667,-2.16667, -3.49958, -8.20078,  184,        4+5,
(  1/12| 37/12), 0.08333, 3.08333,  0.20586,  8.91390,  185,        3+6,
( -1/12| 19/6 ),-0.08333, 3.16667, -0.20586,  8.91390,  185,        4+5,
( 19/6 |-37/12), 3.16667,-3.08333,  7.82259, -4.27867,  185,        1+2,
( 37/12|-19/6 ), 3.08333,-3.16667,  7.61673, -4.63523,  185,        4+5,
(-19/6 |  1/12),-3.16667, 0.08333, -7.82259, -4.27867,  185,        1+2,
(-37/12| -1/12),-3.08333,-0.08333, -7.61673, -4.63523,  185,        3+6,
( 37/12|  1/12), 3.08333, 0.08333,  7.61673,  4.63523,  186,        3+6,
( 19/6 | -1/12), 3.16667,-0.08333,  7.82259,  4.27867,  186,        1+2,
(-37/12| 19/6 ),-3.08333, 3.16667, -7.61673,  4.63523,  186,        4+5,
(-19/6 | 37/12),-3.16667, 3.08333, -7.82259,  4.27867,  186,        1+2,
(  1/12|-19/6 ), 0.08333,-3.16667,  0.20586, -8.91390,  186,        4+5,
( -1/12|-37/12),-0.08333,-3.08333, -0.20586, -8.91390,  186,        3+6,
( 17/12| 13/6 ), 1.41667, 2.16667,  3.49958,  8.20078,  187,        4+5,
(-17/12| 43/12),-1.41667, 3.58333, -3.49958,  8.20078,  187,        3+6,
( 43/12|-13/6 ), 3.58333,-2.16667,  8.85188, -1.06967,  187,        4+5,
( 13/6 |-43/12), 2.16667,-3.58333,  5.35230, -7.13112,  187,        1+2,
(-43/12| 17/12),-3.58333, 1.41667, -8.85188, -1.06967,  187,        3+6,
(-13/6 |-17/12),-2.16667,-1.41667, -5.35230, -7.13112,  187,        1+2,
(  7/12| 17/6 ), 0.58333, 2.83333,  1.44100,  8.91390,  188,        4+5,
( -7/12| 41/12),-0.58333, 3.41667, -1.44100,  8.91390,  188,        3+6,
( 41/12|-17/6 ), 3.41667,-2.83333,  8.44016, -3.20900,  188,        4+5,
( 17/6 |-41/12), 2.83333,-3.41667,  6.99916, -5.70489,  188,        1+2,
(-41/12|  7/12),-3.41667, 0.58333, -8.44016, -3.20900,  188,        3+6,
(-17/6 | -7/12),-2.83333,-0.58333, -6.99916, -5.70489,  188,        1+2,
( 17/6 |  7/12), 2.83333, 0.58333,  6.99916,  5.70489,  189,        1+2,
( 41/12| -7/12), 3.41667,-0.58333,  8.44016,  3.20900,  189,        3+6,
(-17/6 | 41/12),-2.83333, 3.41667, -6.99916,  5.70489,  189,        1+2,
(-41/12| 17/6 ),-3.41667, 2.83333, -8.44016,  3.20900,  189,        4+5,
(  7/12|-41/12), 0.58333,-3.41667,  1.44100, -8.91390,  189,        3+6,
( -7/12|-17/6 ),-0.58333,-2.83333, -1.44100, -8.91390,  189,        4+5,
( 29/12|  7/6 ), 2.41667, 1.16667,  5.96987,  6.77456,  190,        4+5,
( 43/12| -7/6 ), 3.58333,-1.16667,  8.85188,  1.78278,  190,        4+5,
(-29/12| 43/12),-2.41667, 3.58333, -5.96987,  6.77456,  190,        3+6,
(-43/12| 29/12),-3.58333, 2.41667, -8.85188,  1.78278,  190,        3+6,
(  7/6 |-43/12), 1.16667,-3.58333,  2.88201, -8.55734,  190,        1+2,
( -7/6 |-29/12),-1.16667,-2.41667, -2.88201, -8.55734,  190,        1+2,
(  7/6 | 29/12), 1.16667, 2.41667,  2.88201,  8.55734,  191,        1+2,
( -7/6 | 43/12),-1.16667, 3.58333, -2.88201,  8.55734,  191,        1+2,
( 43/12|-29/12), 3.58333,-2.41667,  8.85188, -1.78278,  191,        3+6,
( 29/12|-43/12), 2.41667,-3.58333,  5.96987, -6.77456,  191,        3+6,
(-43/12|  7/6 ),-3.58333, 1.16667, -8.85188, -1.78278,  191,        4+5,
(-29/12| -7/6 ),-2.41667,-1.16667, -5.96987, -6.77456,  191,        4+5,
( 11/6 | 11/6 ), 1.83333, 1.83333,  4.52887,  7.84423,  192,        3+6,
( 11/3 |-11/6 ), 3.66667,-1.83333,  9.05773, -0.00000,  192,        1+2,
(-11/6 | 11/3 ),-1.83333, 3.66667, -4.52887,  7.84423,  192,        4+5,
( 11/6 |-11/3 ), 1.83333,-3.66667,  4.52887, -7.84423,  192,        4+5,
(-11/3 | 11/6 ),-3.66667, 1.83333, -9.05773,  0.00000,  192,        1+2,
(-11/6 |-11/6 ),-1.83333,-1.83333, -4.52887, -7.84423,  192,        3+6,
( 11/4 |  3/4 ), 2.75000, 0.75000,  6.79330,  6.06145,  193,        3+6,
(  7/2 | -3/4 ), 3.50000,-0.75000,  8.64602,  2.85245,  193,        1+2,
(-11/4 |  7/2 ),-2.75000, 3.50000, -6.79330,  6.06145,  193,        4+5,
( -7/2 | 11/4 ),-3.50000, 2.75000, -8.64602,  2.85245,  193,        1+2,
(  3/4 | -7/2 ), 0.75000,-3.50000,  1.85272, -8.91390,  193,        4+5,
( -3/4 |-11/4 ),-0.75000,-2.75000, -1.85272, -8.91390,  193,        3+6,
(  3/4 | 11/4 ), 0.75000, 2.75000,  1.85272,  8.91390,  194,        3+6,
( -3/4 |  7/2 ),-0.75000, 3.50000, -1.85272,  8.91390,  194,        4+5,
(  7/2 |-11/4 ), 3.50000,-2.75000,  8.64602, -2.85245,  194,        1+2,
( 11/4 | -7/2 ), 2.75000,-3.50000,  6.79330, -6.06145,  194,        4+5,
( -7/2 |  3/4 ),-3.50000, 0.75000, -8.64602, -2.85245,  194,        1+2,
(-11/4 | -3/4 ),-2.75000,-0.75000, -6.79330, -6.06145,  194,        3+6,
(  4/3 |  7/3 ), 1.33333, 2.33333,  3.29372,  8.55734,  195,1+2+3+4+5+6,
( -4/3 | 11/3 ),-1.33333, 3.66667, -3.29372,  8.55734,  195,1+2+3+4+5+6,
( 11/3 | -7/3 ), 3.66667,-2.33333,  9.05773, -1.42622,  195,1+2+3+4+5+6,
(  7/3 |-11/3 ), 2.33333,-3.66667,  5.76401, -7.13112,  195,1+2+3+4+5+6,
(-11/3 |  4/3 ),-3.66667, 1.33333, -9.05773, -1.42622,  195,1+2+3+4+5+6,
( -7/3 | -4/3 ),-2.33333,-1.33333, -5.76401, -7.13112,  195,1+2+3+4+5+6,
(  7/3 |  4/3 ), 2.33333, 1.33333,  5.76401,  7.13112,  196,1+2+3+4+5+6,
( 11/3 | -4/3 ), 3.66667,-1.33333,  9.05773,  1.42622,  196,1+2+3+4+5+6,
( -7/3 | 11/3 ),-2.33333, 3.66667, -5.76401,  7.13112,  196,1+2+3+4+5+6,
(-11/3 |  7/3 ),-3.66667, 2.33333, -9.05773,  1.42622,  196,1+2+3+4+5+6,
(  4/3 |-11/3 ), 1.33333,-3.66667,  3.29372, -8.55734,  196,1+2+3+4+5+6,
( -4/3 | -7/3 ),-1.33333,-2.33333, -3.29372, -8.55734,  196,1+2+3+4+5+6,
(  1/6 | 19/6 ), 0.16667, 3.16667,  0.41172,  9.27045,  197,        3+6,
( -1/6 | 10/3 ),-0.16667, 3.33333, -0.41172,  9.27045,  197,        4+5,
( 10/3 |-19/6 ), 3.33333,-3.16667,  8.23430, -4.27867,  197,        1+2,
( 19/6 |-10/3 ), 3.16667,-3.33333,  7.82259, -4.99178,  197,        4+5,
(-10/3 |  1/6 ),-3.33333, 0.16667, -8.23430, -4.27867,  197,        1+2,
(-19/6 | -1/6 ),-3.16667,-0.16667, -7.82259, -4.99178,  197,        3+6,
( 19/6 |  1/6 ), 3.16667, 0.16667,  7.82259,  4.99178,  198,        3+6,
( 10/3 | -1/6 ), 3.33333,-0.16667,  8.23430,  4.27867,  198,        1+2,
(-19/6 | 10/3 ),-3.16667, 3.33333, -7.82259,  4.99178,  198,        4+5,
(-10/3 | 19/6 ),-3.33333, 3.16667, -8.23430,  4.27867,  198,        1+2,
(  1/6 |-10/3 ), 0.16667,-3.33333,  0.41172, -9.27045,  198,        4+5,
( -1/6 |-19/6 ),-0.16667,-3.16667, -0.41172, -9.27045,  198,        3+6,
(  9/4 |  3/2 ), 2.25000, 1.50000,  5.55815,  7.48767,  199,        4+5,
( 15/4 | -3/2 ), 3.75000,-1.50000,  9.26359,  1.06967,  199,        4+5,
( -9/4 | 15/4 ),-2.25000, 3.75000, -5.55815,  7.48767,  199,        3+6,
(-15/4 |  9/4 ),-3.75000, 2.25000, -9.26359,  1.06967,  199,        3+6,
(  3/2 |-15/4 ), 1.50000,-3.75000,  3.70544, -8.55734,  199,        1+2,
( -3/2 | -9/4 ),-1.50000,-2.25000, -3.70544, -8.55734,  199,        1+2,
(  3/2 |  9/4 ), 1.50000, 2.25000,  3.70544,  8.55734,  200,        1+2,
( -3/2 | 15/4 ),-1.50000, 3.75000, -3.70544,  8.55734,  200,        1+2,
( 15/4 | -9/4 ), 3.75000,-2.25000,  9.26359, -1.06967,  200,        3+6,
(  9/4 |-15/4 ), 2.25000,-3.75000,  5.55815, -7.48767,  200,        3+6,
(-15/4 |  3/2 ),-3.75000, 1.50000, -9.26359, -1.06967,  200,        4+5,
( -9/4 | -3/2 ),-2.25000,-1.50000, -5.55815, -7.48767,  200,        4+5,
(  3   |  1/2 ), 3.00000, 0.50000,  7.41087,  5.70489,  201,        1+2,
(  7/2 | -1/2 ), 3.50000,-0.50000,  8.64602,  3.56556,  201,        3+6,
( -3   |  7/2 ),-3.00000, 3.50000, -7.41087,  5.70489,  201,        1+2,
( -7/2 |  3   ),-3.50000, 3.00000, -8.64602,  3.56556,  201,        4+5,
(  1/2 | -7/2 ), 0.50000,-3.50000,  1.23515, -9.27045,  201,        3+6,
( -1/2 | -3   ),-0.50000,-3.00000, -1.23515, -9.27045,  201,        4+5,
(  1/2 |  3   ), 0.50000, 3.00000,  1.23515,  9.27045,  202,        4+5,
( -1/2 |  7/2 ),-0.50000, 3.50000, -1.23515,  9.27045,  202,        3+6,
(  7/2 | -3   ), 3.50000,-3.00000,  8.64602, -3.56556,  202,        4+5,
(  3   | -7/2 ), 3.00000,-3.50000,  7.41087, -5.70489,  202,        1+2,
( -7/2 |  1/2 ),-3.50000, 0.50000, -8.64602, -3.56556,  202,        3+6,
( -3   | -1/2 ),-3.00000,-0.50000, -7.41087, -5.70489,  202,        1+2,
(  5/2 |  5/4 ), 2.50000, 1.25000,  6.17573,  7.13112,  203,        1+2,
( 15/4 | -5/4 ), 3.75000,-1.25000,  9.26359,  1.78278,  203,        3+6,
( -5/2 | 15/4 ),-2.50000, 3.75000, -6.17573,  7.13112,  203,        1+2,
(-15/4 |  5/2 ),-3.75000, 2.50000, -9.26359,  1.78278,  203,        4+5,
(  5/4 |-15/4 ), 1.25000,-3.75000,  3.08786, -8.91390,  203,        3+6,
( -5/4 | -5/2 ),-1.25000,-2.50000, -3.08786, -8.91390,  203,        4+5,
(  5/4 |  5/2 ), 1.25000, 2.50000,  3.08786,  8.91390,  204,        4+5,
( -5/4 | 15/4 ),-1.25000, 3.75000, -3.08786,  8.91390,  204,        3+6,
( 15/4 | -5/2 ), 3.75000,-2.50000,  9.26359, -1.78278,  204,        4+5,
(  5/2 |-15/4 ), 2.50000,-3.75000,  6.17573, -7.13112,  204,        1+2,
(-15/4 |  5/4 ),-3.75000, 1.25000, -9.26359, -1.78278,  204,        3+6,
( -5/2 | -5/4 ),-2.50000,-1.25000, -6.17573, -7.13112,  204,        1+2,
( 23/12| 23/12), 1.91667, 1.91667,  4.73472,  8.20078,  205,        3+6,
( 23/6 |-23/12), 3.83333,-1.91667,  9.46945, -0.00000,  205,        1+2,
(-23/12| 23/6 ),-1.91667, 3.83333, -4.73472,  8.20078,  205,        4+5,
( 23/12|-23/6 ), 1.91667,-3.83333,  4.73472, -8.20078,  205,        4+5,
(-23/6 | 23/12),-3.83333, 1.91667, -9.46945,  0.00000,  205,        1+2,
(-23/12|-23/12),-1.91667,-1.91667, -4.73472, -8.20078,  205,        3+6,
(  5/6 | 17/6 ), 0.83333, 2.83333,  2.05858,  9.27045,  206,        3+6,
( -5/6 | 11/3 ),-0.83333, 3.66667, -2.05858,  9.27045,  206,        4+5,
( 11/3 |-17/6 ), 3.66667,-2.83333,  9.05773, -2.85245,  206,        1+2,
( 17/6 |-11/3 ), 2.83333,-3.66667,  6.99916, -6.41800,  206,        4+5,
(-11/3 |  5/6 ),-3.66667, 0.83333, -9.05773, -2.85245,  206,        1+2,
(-17/6 | -5/6 ),-2.83333,-0.83333, -6.99916, -6.41800,  206,        3+6,
( 17/6 |  5/6 ), 2.83333, 0.83333,  6.99916,  6.41800,  207,        3+6,
( 11/3 | -5/6 ), 3.66667,-0.83333,  9.05773,  2.85245,  207,        1+2,
(-17/6 | 11/3 ),-2.83333, 3.66667, -6.99916,  6.41800,  207,        4+5,
(-11/3 | 17/6 ),-3.66667, 2.83333, -9.05773,  2.85245,  207,        1+2,
(  5/6 |-11/3 ), 0.83333,-3.66667,  2.05858, -9.27045,  207,        4+5,
( -5/6 |-17/6 ),-0.83333,-2.83333, -2.05858, -9.27045,  207,        3+6,
( 13/6 |  5/3 ), 2.16667, 1.66667,  5.35230,  7.84423,  208,        4+5,
( 23/6 | -5/3 ), 3.83333,-1.66667,  9.46945,  0.71311,  208,        4+5,
(-13/6 | 23/6 ),-2.16667, 3.83333, -5.35230,  7.84423,  208,        3+6,
(-23/6 | 13/6 ),-3.83333, 2.16667, -9.46945,  0.71311,  208,        3+6,
(  5/3 |-23/6 ), 1.66667,-3.83333,  4.11715, -8.55734,  208,        1+2,
( -5/3 |-13/6 ),-1.66667,-2.16667, -4.11715, -8.55734,  208,        1+2,
(  5/3 | 13/6 ), 1.66667, 2.16667,  4.11715,  8.55734,  209,        1+2,
( -5/3 | 23/6 ),-1.66667, 3.83333, -4.11715,  8.55734,  209,        1+2,
( 23/6 |-13/6 ), 3.83333,-2.16667,  9.46945, -0.71311,  209,        3+6,
( 13/6 |-23/6 ), 2.16667,-3.83333,  5.35230, -7.84423,  209,        3+6,
(-23/6 |  5/3 ),-3.83333, 1.66667, -9.46945, -0.71311,  209,        4+5,
(-13/6 | -5/3 ),-2.16667,-1.66667, -5.35230, -7.84423,  209,        4+5,
( 17/12| 29/12), 1.41667, 2.41667,  3.49958,  8.91390,  210,        3+6,
(-17/12| 23/6 ),-1.41667, 3.83333, -3.49958,  8.91390,  210,        4+5,
( 23/6 |-29/12), 3.83333,-2.41667,  9.46945, -1.42622,  210,        1+2,
( 29/12|-23/6 ), 2.41667,-3.83333,  5.96987, -7.48767,  210,        4+5,
(-23/6 | 17/12),-3.83333, 1.41667, -9.46945, -1.42622,  210,        1+2,
(-29/12|-17/12),-2.41667,-1.41667, -5.96987, -7.48767,  210,        3+6,
( 29/12| 17/12), 2.41667, 1.41667,  5.96987,  7.48767,  211,        3+6,
( 23/6 |-17/12), 3.83333,-1.41667,  9.46945,  1.42622,  211,        1+2,
(-29/12| 23/6 ),-2.41667, 3.83333, -5.96987,  7.48767,  211,        4+5,
(-23/6 | 29/12),-3.83333, 2.41667, -9.46945,  1.42622,  211,        1+2,
( 17/12|-23/6 ), 1.41667,-3.83333,  3.49958, -8.91390,  211,        4+5,
(-17/12|-29/12),-1.41667,-2.41667, -3.49958, -8.91390,  211,        3+6,
( 13/4 |  1/4 ), 3.25000, 0.25000,  8.02845,  5.34834,  212,        3+6,
(  7/2 | -1/4 ), 3.50000,-0.25000,  8.64602,  4.27867,  212,        1+2,
(-13/4 |  7/2 ),-3.25000, 3.50000, -8.02845,  5.34834,  212,        4+5,
( -7/2 | 13/4 ),-3.50000, 3.25000, -8.64602,  4.27867,  212,        1+2,
(  1/4 | -7/2 ), 0.25000,-3.50000,  0.61757, -9.62701,  212,        4+5,
( -1/4 |-13/4 ),-0.25000,-3.25000, -0.61757, -9.62701,  212,        3+6,
(  1/4 | 13/4 ), 0.25000, 3.25000,  0.61757,  9.62701,  213,        3+6,
( -1/4 |  7/2 ),-0.25000, 3.50000, -0.61757,  9.62701,  213,        4+5,
(  7/2 |-13/4 ), 3.50000,-3.25000,  8.64602, -4.27867,  213,        1+2,
( 13/4 | -7/2 ), 3.25000,-3.50000,  8.02845, -5.34834,  213,        4+5,
( -7/2 |  1/4 ),-3.50000, 0.25000, -8.64602, -4.27867,  213,        1+2,
(-13/4 | -1/4 ),-3.25000,-0.25000, -8.02845, -5.34834,  213,        3+6,
(  5/12| 19/6 ), 0.41667, 3.16667,  1.02929,  9.62701,  214,        4+5,
( -5/12| 43/12),-0.41667, 3.58333, -1.02929,  9.62701,  214,        3+6,
( 43/12|-19/6 ), 3.58333,-3.16667,  8.85188, -3.92211,  214,        4+5,
( 19/6 |-43/12), 3.16667,-3.58333,  7.82259, -5.70489,  214,        1+2,
(-43/12|  5/12),-3.58333, 0.41667, -8.85188, -3.92211,  214,        3+6,
(-19/6 | -5/12),-3.16667,-0.41667, -7.82259, -5.70489,  214,        1+2,
( 19/6 |  5/12), 3.16667, 0.41667,  7.82259,  5.70489,  215,        1+2,
( 43/12| -5/12), 3.58333,-0.41667,  8.85188,  3.92211,  215,        3+6,
(-19/6 | 43/12),-3.16667, 3.58333, -7.82259,  5.70489,  215,        1+2,
(-43/12| 19/6 ),-3.58333, 3.16667, -8.85188,  3.92211,  215,        4+5,
(  5/12|-43/12), 0.41667,-3.58333,  1.02929, -9.62701,  215,        3+6,
( -5/12|-19/6 ),-0.41667,-3.16667, -1.02929, -9.62701,  215,        4+5,
( 25/12| 11/6 ), 2.08333, 1.83333,  5.14644,  8.20078,  216,        4+5,
( 47/12|-11/6 ), 3.91667,-1.83333,  9.67531,  0.35656,  216,        4+5,
(-25/12| 47/12),-2.08333, 3.91667, -5.14644,  8.20078,  216,        3+6,
(-47/12| 25/12),-3.91667, 2.08333, -9.67531,  0.35656,  216,        3+6,
( 11/6 |-47/12), 1.83333,-3.91667,  4.52887, -8.55734,  216,        1+2,
(-11/6 |-25/12),-1.83333,-2.08333, -4.52887, -8.55734,  216,        1+2,
( 11/6 | 25/12), 1.83333, 2.08333,  4.52887,  8.55734,  217,        1+2,
(-11/6 | 47/12),-1.83333, 3.91667, -4.52887,  8.55734,  217,        1+2,
( 47/12|-25/12), 3.91667,-2.08333,  9.67531, -0.35656,  217,        3+6,
( 25/12|-47/12), 2.08333,-3.91667,  5.14644, -8.20078,  217,        3+6,
(-47/12| 11/6 ),-3.91667, 1.83333, -9.67531, -0.35656,  217,        4+5,
(-25/12|-11/6 ),-2.08333,-1.83333, -5.14644, -8.20078,  217,        4+5,
(  8/3 |  7/6 ), 2.66667, 1.16667,  6.58744,  7.13112,  218,        1+2,
( 23/6 | -7/6 ), 3.83333,-1.16667,  9.46945,  2.13933,  218,        3+6,
( -8/3 | 23/6 ),-2.66667, 3.83333, -6.58744,  7.13112,  218,        1+2,
(-23/6 |  8/3 ),-3.83333, 2.66667, -9.46945,  2.13933,  218,        4+5,
(  7/6 |-23/6 ), 1.16667,-3.83333,  2.88201, -9.27045,  218,        3+6,
( -7/6 | -8/3 ),-1.16667,-2.66667, -2.88201, -9.27045,  218,        4+5,
(  7/6 |  8/3 ), 1.16667, 2.66667,  2.88201,  9.27045,  219,        4+5,
( -7/6 | 23/6 ),-1.16667, 3.83333, -2.88201,  9.27045,  219,        3+6,
( 23/6 | -8/3 ), 3.83333,-2.66667,  9.46945, -2.13933,  219,        4+5,
(  8/3 |-23/6 ), 2.66667,-3.83333,  6.58744, -7.13112,  219,        1+2,
(-23/6 |  7/6 ),-3.83333, 1.16667, -9.46945, -2.13933,  219,        3+6,
( -8/3 | -7/6 ),-2.66667,-1.16667, -6.58744, -7.13112,  219,        1+2,
(  2   |  2   ), 2.00000, 2.00000,  4.94058,  8.55734,  220,1+2+3+4+5+6,
(  4   | -2   ), 4.00000,-2.00000,  9.88116, -0.00000,  220,1+2+3+4+5+6,
( -2   |  4   ),-2.00000, 4.00000, -4.94058,  8.55734,  220,1+2+3+4+5+6,
(  2   | -4   ), 2.00000,-4.00000,  4.94058, -8.55734,  220,1+2+3+4+5+6,
( -4   |  2   ),-4.00000, 2.00000, -9.88116,  0.00000,  220,1+2+3+4+5+6,
( -2   | -2   ),-2.00000,-2.00000, -4.94058, -8.55734,  220,1+2+3+4+5+6,
( 11/12| 35/12), 0.91667, 2.91667,  2.26443,  9.62701,  221,        3+6,
(-11/12| 23/6 ),-0.91667, 3.83333, -2.26443,  9.62701,  221,        4+5,
( 23/6 |-35/12), 3.83333,-2.91667,  9.46945, -2.85245,  221,        1+2,
( 35/12|-23/6 ), 2.91667,-3.83333,  7.20502, -6.77456,  221,        4+5,
(-23/6 | 11/12),-3.83333, 0.91667, -9.46945, -2.85245,  221,        1+2,
(-35/12|-11/12),-2.91667,-0.91667, -7.20502, -6.77456,  221,        3+6,
( 35/12| 11/12), 2.91667, 0.91667,  7.20502,  6.77456,  222,        3+6,
( 23/6 |-11/12), 3.83333,-0.91667,  9.46945,  2.85245,  222,        1+2,
(-35/12| 23/6 ),-2.91667, 3.83333, -7.20502,  6.77456,  222,        4+5,
(-23/6 | 35/12),-3.83333, 2.91667, -9.46945,  2.85245,  222,        1+2,
( 11/12|-23/6 ), 0.91667,-3.83333,  2.26443, -9.62701,  222,        4+5,
(-11/12|-35/12),-0.91667,-2.91667, -2.26443, -9.62701,  222,        3+6,
(  5/2 |  3/2 ), 2.50000, 1.50000,  6.17573,  7.84423,  223,        3+6,
(  4   | -3/2 ), 4.00000,-1.50000,  9.88116,  1.42622,  223,        1+2,
( -5/2 |  4   ),-2.50000, 4.00000, -6.17573,  7.84423,  223,        4+5,
( -4   |  5/2 ),-4.00000, 2.50000, -9.88116,  1.42622,  223,        1+2,
(  3/2 | -4   ), 1.50000,-4.00000,  3.70544, -9.27045,  223,        4+5,
( -3/2 | -5/2 ),-1.50000,-2.50000, -3.70544, -9.27045,  223,        3+6,
(  7/2 |  0   ), 3.50000, 0.00000,  8.64602,  4.99178,  224,        4+5,
( -7/2 |  7/2 ),-3.50000, 3.50000, -8.64602,  4.99178,  224,        3+6,
(  0   | -7/2 ), 0.00000,-3.50000,  0.00000, -9.98356,  224,        1+2,
(  3/2 |  5/2 ), 1.50000, 2.50000,  3.70544,  9.27045,  225,        3+6,
( -3/2 |  4   ),-1.50000, 4.00000, -3.70544,  9.27045,  225,        4+5,
(  4   | -5/2 ), 4.00000,-2.50000,  9.88116, -1.42622,  225,        1+2,
(  5/2 | -4   ), 2.50000,-4.00000,  6.17573, -7.84423,  225,        4+5,
( -4   |  3/2 ),-4.00000, 1.50000, -9.88116, -1.42622,  225,        1+2,
( -5/2 | -3/2 ),-2.50000,-1.50000, -6.17573, -7.84423,  225,        3+6,
(  0   |  7/2 ), 0.00000, 3.50000,  0.00000,  9.98356,  226,        1+2,
