frame_time (ms)    exposure (ms)       time for 20 frames (s)
-------------------------------------------------------------
      31              100                  2.294994178
	1000              100                 20.112630548
	 100              100                  2.295323698
	 200              100                  4.113450502

################################   CONTINUOUS  ################################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
     100      |   528 x 1400   |                 |
     100      |   528 x 1000   |                 |
     100      |   528 x  700   |                 |
     100      |   528 x  500   |                 |
     100      |   528 x  400   |                 |
     100      |   528 x  300   |                 |
     100      |   528 x  100   |                 |
     100      |   528 x    4   |                 |
     200      |  2048 x 1536   |      >200       |
     200      |  1808 x 1536   |                 |
     200      |  1536 x 1536   |                 |
     200      |  1200 x 1536   |                 |
     200      |   896 x 1536   |                 |
     200      |   528 x 1536   |                 |
     200      |   528 x 1400   |                 |
     200      |   528 x 1000   |                 |
     200      |   528 x  700   |                 |
     200      |   528 x  500   |                 |
     200      |   528 x  400   |                 |
     200      |   528 x  300   |                 |
     200      |   528 x  100   |                 |
     200      |   528 x    4   |                 |
     300      |  2048 x 1536   |      >100       |
     300      |  1808 x 1536   |                 |
     300      |  1536 x 1536   |                 |
     300      |  1200 x 1536   |                 |
     300      |   896 x 1536   |                 |
     300      |   528 x 1536   |                 |
     300      |   528 x 1400   |                 |
     300      |   528 x 1000   |                 |
     300      |   528 x  700   |                 |
     300      |   528 x  500   |                 |
     300      |   528 x  400   |                 |
     300      |   528 x  300   |                 |
     300      |   528 x  100   |                 |
     300      |   528 x    4   |                 |
     500      |  2048 x 1536   |      >100       |
     500      |  1808 x 1536   |                 |
     500      |  1536 x 1536   |                 |
     500      |  1200 x 1536   |                 |
     500      |   896 x 1536   |                 |
     500      |   528 x 1536   |      >100       |
     500      |   528 x 1400   |                 |
     500      |   528 x 1000   |                 |
     500      |   528 x  700   |                 |
     500      |   528 x  500   |                 |
     500      |   528 x  400   |                 |
     500      |   528 x  300   |                 |
     500      |   528 x  100   |                 |
     500      |   528 x    4   |                 |
	
	
