# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -4/5 | -1/10),-0.80000,-0.10000, -1.81713, -1.31140,   52,        1,
(  1/2 |  1/2 ), 0.50000, 0.50000,  1.13571,  1.96710,   53,        1,
(  1   | -1/2 ), 1.00000,-0.50000,  2.27141, -0.00000,   53,        1,
( -1/2 |  1   ),-0.50000, 1.00000, -1.13571,  1.96710,   53,        1,
(  1/2 | -1   ), 0.50000,-1.00000,  1.13571, -1.96710,   53,        1,
( -1   |  1/2 ),-1.00000, 0.50000, -2.27141,  0.00000,   53,        1,
( -1/2 | -1/2 ),-0.50000,-0.50000, -1.13571, -1.96710,   53,        1,
(  2/5 |  3/5 ), 0.40000, 0.60000,  0.90857,  2.09824,   54,        1,
( -2/5 |  1   ),-0.40000, 1.00000, -0.90857,  2.09824,   54,        1,
(  1   | -3/5 ), 1.00000,-0.60000,  2.27141, -0.26228,   54,        1,
(  3/5 | -1   ), 0.60000,-1.00000,  1.36285, -1.83596,   54,        1,
( -1   |  2/5 ),-1.00000, 0.40000, -2.27141, -0.26228,   54,        1,
( -3/5 | -2/5 ),-0.60000,-0.40000, -1.36285, -1.83596,   54,        1,
(  3/5 |  2/5 ), 0.60000, 0.40000,  1.36285,  1.83596,   55,        1,
(  1   | -2/5 ), 1.00000,-0.40000,  2.27141,  0.26228,   55,        1,
( -3/5 |  1   ),-0.60000, 1.00000, -1.36285,  1.83596,   55,        1,
( -1   |  3/5 ),-1.00000, 0.60000, -2.27141,  0.26228,   55,        1,
(  2/5 | -1   ), 0.40000,-1.00000,  0.90857, -2.09824,   55,        1,
( -2/5 | -3/5 ),-0.40000,-0.60000, -0.90857, -2.09824,   55,        1,
(  3/10|  7/10), 0.30000, 0.70000,  0.68142,  2.22938,   56,        1,
( -3/10|  1   ),-0.30000, 1.00000, -0.68142,  2.22938,   56,        1,
(  1   | -7/10), 1.00000,-0.70000,  2.27141, -0.52456,   56,        1,
(  7/10| -1   ), 0.70000,-1.00000,  1.58999, -1.70482,   56,        1,
( -1   |  3/10),-1.00000, 0.30000, -2.27141, -0.52456,   56,        1,
( -7/10| -3/10),-0.70000,-0.30000, -1.58999, -1.70482,   56,        1,
(  7/10|  3/10), 0.70000, 0.30000,  1.58999,  1.70482,   57,        1,
(  1   | -3/10), 1.00000,-0.30000,  2.27141,  0.52456,   57,        1,
( -7/10|  1   ),-0.70000, 1.00000, -1.58999,  1.70482,   57,        1,
( -1   |  7/10),-1.00000, 0.70000, -2.27141,  0.52456,   57,        1,
(  3/10| -1   ), 0.30000,-1.00000,  0.68142, -2.22938,   57,        1,
( -3/10| -7/10),-0.30000,-0.70000, -0.68142, -2.22938,   57,        1,
(  9/10|  0   ), 0.90000, 0.00000,  2.04427,  1.18026,   58,        1,
( -9/10|  9/10),-0.90000, 0.90000, -2.04427,  1.18026,   58,        1,
(  0   | -9/10), 0.00000,-0.90000,  0.00000, -2.36052,   58,        1,
(  0   |  9/10), 0.00000, 0.90000,  0.00000,  2.36052,   59,        1,
(  9/10| -9/10), 0.90000,-0.90000,  2.04427, -1.18026,   59,        1,
( -9/10|  0   ),-0.90000, 0.00000, -2.04427, -1.18026,   59,        1,
(  1/5 |  4/5 ), 0.20000, 0.80000,  0.45428,  2.36052,   60,        1,
( -1/5 |  1   ),-0.20000, 1.00000, -0.45428,  2.36052,   60,        1,
(  1   | -4/5 ), 1.00000,-0.80000,  2.27141, -0.78684,   60,        1,
(  4/5 | -1   ), 0.80000,-1.00000,  1.81713, -1.57368,   60,        1,
( -1   |  1/5 ),-1.00000, 0.20000, -2.27141, -0.78684,   60,        1,
( -4/5 | -1/5 ),-0.80000,-0.20000, -1.81713, -1.57368,   60,        1,
(  4/5 |  1/5 ), 0.80000, 0.20000,  1.81713,  1.57368,   61,        1,
(  1   | -1/5 ), 1.00000,-0.20000,  2.27141,  0.78684,   61,        1,
( -4/5 |  1   ),-0.80000, 1.00000, -1.81713,  1.57368,   61,        1,
( -1   |  4/5 ),-1.00000, 0.80000, -2.27141,  0.78684,   61,        1,
(  1/5 | -1   ), 0.20000,-1.00000,  0.45428, -2.36052,   61,        1,
( -1/5 | -4/5 ),-0.20000,-0.80000, -0.45428, -2.36052,   61,        1,
(  1/2 |  3/5 ), 0.50000, 0.60000,  1.13571,  2.22938,   62,        1,
( -1/2 | 11/10),-0.50000, 1.10000, -1.13571,  2.22938,   62,        1,
( 11/10| -3/5 ), 1.10000,-0.60000,  2.49856, -0.13114,   62,        1,
(  3/5 |-11/10), 0.60000,-1.10000,  1.36285, -2.09824,   62,        1,
(-11/10|  1/2 ),-1.10000, 0.50000, -2.49856, -0.13114,   62,        1,
( -3/5 | -1/2 ),-0.60000,-0.50000, -1.36285, -2.09824,   62,        1,
(  3/5 |  1/2 ), 0.60000, 0.50000,  1.36285,  2.09824,   63,        1,
( 11/10| -1/2 ), 1.10000,-0.50000,  2.49856,  0.13114,   63,        1,
( -3/5 | 11/10),-0.60000, 1.10000, -1.36285,  2.09824,   63,        1,
(-11/10|  3/5 ),-1.10000, 0.60000, -2.49856,  0.13114,   63,        1,
(  1/2 |-11/10), 0.50000,-1.10000,  1.13571, -2.22938,   63,        1,
( -1/2 | -3/5 ),-0.50000,-0.60000, -1.13571, -2.22938,   63,        1,
(  9/10|  1/10), 0.90000, 0.10000,  2.04427,  1.44254,   64,        1,
(  1   | -1/10), 1.00000,-0.10000,  2.27141,  1.04912,   64,        1,
( -9/10|  1   ),-0.90000, 1.00000, -2.04427,  1.44254,   64,        1,
( -1   |  9/10),-1.00000, 0.90000, -2.27141,  1.04912,   64,        1,
(  1/10| -1   ), 0.10000,-1.00000,  0.22714, -2.49166,   64,        1,
( -1/10| -9/10),-0.10000,-0.90000, -0.22714, -2.49166,   64,        1,
(  1/10|  9/10), 0.10000, 0.90000,  0.22714,  2.49166,   65,        1,
( -1/10|  1   ),-0.10000, 1.00000, -0.22714,  2.49166,   65,        1,
(  1   | -9/10), 1.00000,-0.90000,  2.27141, -1.04912,   65,        1,
(  9/10| -1   ), 0.90000,-1.00000,  2.04427, -1.44254,   65,        1,
( -1   |  1/10),-1.00000, 0.10000, -2.27141, -1.04912,   65,        1,
( -9/10| -1/10),-0.90000,-0.10000, -2.04427, -1.44254,   65,        1,
(  2/5 |  7/10), 0.40000, 0.70000,  0.90857,  2.36052,   66,        1,
( -2/5 | 11/10),-0.40000, 1.10000, -0.90857,  2.36052,   66,        1,
( 11/10| -7/10), 1.10000,-0.70000,  2.49856, -0.39342,   66,        1,
(  7/10|-11/10), 0.70000,-1.10000,  1.58999, -1.96710,   66,        1,
(-11/10|  2/5 ),-1.10000, 0.40000, -2.49856, -0.39342,   66,        1,
( -7/10| -2/5 ),-0.70000,-0.40000, -1.58999, -1.96710,   66,        1,
(  7/10|  2/5 ), 0.70000, 0.40000,  1.58999,  1.96710,   67,        1,
( 11/10| -2/5 ), 1.10000,-0.40000,  2.49856,  0.39342,   67,        1,
( -7/10| 11/10),-0.70000, 1.10000, -1.58999,  1.96710,   67,        1,
(-11/10|  7/10),-1.10000, 0.70000, -2.49856,  0.39342,   67,        1,
(  2/5 |-11/10), 0.40000,-1.10000,  0.90857, -2.36052,   67,        1,
( -2/5 | -7/10),-0.40000,-0.70000, -0.90857, -2.36052,   67,        1,
(  3/10|  4/5 ), 0.30000, 0.80000,  0.68142,  2.49166,   68,        1,
( -3/10| 11/10),-0.30000, 1.10000, -0.68142,  2.49166,   68,        1,
( 11/10| -4/5 ), 1.10000,-0.80000,  2.49856, -0.65570,   68,        1,
(  4/5 |-11/10), 0.80000,-1.10000,  1.81713, -1.83596,   68,        1,
(-11/10|  3/10),-1.10000, 0.30000, -2.49856, -0.65570,   68,        1,
( -4/5 | -3/10),-0.80000,-0.30000, -1.81713, -1.83596,   68,        1,
(  4/5 |  3/10), 0.80000, 0.30000,  1.81713,  1.83596,   69,        1,
( 11/10| -3/10), 1.10000,-0.30000,  2.49856,  0.65570,   69,        1,
( -4/5 | 11/10),-0.80000, 1.10000, -1.81713,  1.83596,   69,        1,
(-11/10|  4/5 ),-1.10000, 0.80000, -2.49856,  0.65570,   69,        1,
(  3/10|-11/10), 0.30000,-1.10000,  0.68142, -2.49166,   69,        1,
( -3/10| -4/5 ),-0.30000,-0.80000, -0.68142, -2.49166,   69,        1,
(  0   |  1   ), 0.00000, 1.00000,  0.00000,  2.62280,   70,        1,
(  1   | -1   ), 1.00000,-1.00000,  2.27141, -1.31140,   70,        1,
( -1   |  0   ),-1.00000, 0.00000, -2.27141, -1.31140,   70,        1,
(  1   |  0   ), 1.00000, 0.00000,  2.27141,  1.31140,   71,        1,
( -1   |  1   ),-1.00000, 1.00000, -2.27141,  1.31140,   71,        1,
(  0   | -1   ), 0.00000,-1.00000,  0.00000, -2.62280,   71,        1,
(  9/10|  1/5 ), 0.90000, 0.20000,  2.04427,  1.70482,   72,        1,
( 11/10| -1/5 ), 1.10000,-0.20000,  2.49856,  0.91798,   72,        1,
( -9/10| 11/10),-0.90000, 1.10000, -2.04427,  1.70482,   72,        1,
(-11/10|  9/10),-1.10000, 0.90000, -2.49856,  0.91798,   72,        1,
(  1/5 |-11/10), 0.20000,-1.10000,  0.45428, -2.62280,   72,        1,
( -1/5 | -9/10),-0.20000,-0.90000, -0.45428, -2.62280,   72,        1,
(  1/5 |  9/10), 0.20000, 0.90000,  0.45428,  2.62280,   73,        1,
( -1/5 | 11/10),-0.20000, 1.10000, -0.45428,  2.62280,   73,        1,
( 11/10| -9/10), 1.10000,-0.90000,  2.49856, -0.91798,   73,        1,
(  9/10|-11/10), 0.90000,-1.10000,  2.04427, -1.70482,   73,        1,
(-11/10|  1/5 ),-1.10000, 0.20000, -2.49856, -0.91798,   73,        1,
( -9/10| -1/5 ),-0.90000,-0.20000, -2.04427, -1.70482,   73,        1,
(  3/5 |  3/5 ), 0.60000, 0.60000,  1.36285,  2.36052,   74,        1,
(  6/5 | -3/5 ), 1.20000,-0.60000,  2.72570, -0.00000,   74,        1,
( -3/5 |  6/5 ),-0.60000, 1.20000, -1.36285,  2.36052,   74,        1,
(  3/5 | -6/5 ), 0.60000,-1.20000,  1.36285, -2.36052,   74,        1,
( -6/5 |  3/5 ),-1.20000, 0.60000, -2.72570,  0.00000,   74,        1,
( -3/5 | -3/5 ),-0.60000,-0.60000, -1.36285, -2.36052,   74,        1,
(  1/2 |  7/10), 0.50000, 0.70000,  1.13571,  2.49166,   75,        1,
( -1/2 |  6/5 ),-0.50000, 1.20000, -1.13571,  2.49166,   75,        1,
(  6/5 | -7/10), 1.20000,-0.70000,  2.72570, -0.26228,   75,        1,
(  7/10| -6/5 ), 0.70000,-1.20000,  1.58999, -2.22938,   75,        1,
( -6/5 |  1/2 ),-1.20000, 0.50000, -2.72570, -0.26228,   75,        1,
( -7/10| -1/2 ),-0.70000,-0.50000, -1.58999, -2.22938,   75,        1,
(  7/10|  1/2 ), 0.70000, 0.50000,  1.58999,  2.22938,   76,        1,
(  6/5 | -1/2 ), 1.20000,-0.50000,  2.72570,  0.26228,   76,        1,
( -7/10|  6/5 ),-0.70000, 1.20000, -1.58999,  2.22938,   76,        1,
( -6/5 |  7/10),-1.20000, 0.70000, -2.72570,  0.26228,   76,        1,
(  1/2 | -6/5 ), 0.50000,-1.20000,  1.13571, -2.49166,   76,        1,
( -1/2 | -7/10),-0.50000,-0.70000, -1.13571, -2.49166,   76,        1,
(  1   |  1/10), 1.00000, 0.10000,  2.27141,  1.57368,   77,        1,
( 11/10| -1/10), 1.10000,-0.10000,  2.49856,  1.18026,   77,        1,
( -1   | 11/10),-1.00000, 1.10000, -2.27141,  1.57368,   77,        1,
(-11/10|  1   ),-1.10000, 1.00000, -2.49856,  1.18026,   77,        1,
(  1/10|-11/10), 0.10000,-1.10000,  0.22714, -2.75394,   77,        1,
( -1/10| -1   ),-0.10000,-1.00000, -0.22714, -2.75394,   77,        1,
(  1/10|  1   ), 0.10000, 1.00000,  0.22714,  2.75394,   78,        1,
( -1/10| 11/10),-0.10000, 1.10000, -0.22714,  2.75394,   78,        1,
( 11/10| -1   ), 1.10000,-1.00000,  2.49856, -1.18026,   78,        1,
(  1   |-11/10), 1.00000,-1.10000,  2.27141, -1.57368,   78,        1,
(-11/10|  1/10),-1.10000, 0.10000, -2.49856, -1.18026,   78,        1,
( -1   | -1/10),-1.00000,-0.10000, -2.27141, -1.57368,   78,        1,
(  2/5 |  4/5 ), 0.40000, 0.80000,  0.90857,  2.62280,   79,        1,
( -2/5 |  6/5 ),-0.40000, 1.20000, -0.90857,  2.62280,   79,        1,
(  6/5 | -4/5 ), 1.20000,-0.80000,  2.72570, -0.52456,   79,        1,
(  4/5 | -6/5 ), 0.80000,-1.20000,  1.81713, -2.09824,   79,        1,
( -6/5 |  2/5 ),-1.20000, 0.40000, -2.72570, -0.52456,   79,        1,
( -4/5 | -2/5 ),-0.80000,-0.40000, -1.81713, -2.09824,   79,        1,
(  4/5 |  2/5 ), 0.80000, 0.40000,  1.81713,  2.09824,   80,        1,
(  6/5 | -2/5 ), 1.20000,-0.40000,  2.72570,  0.52456,   80,        1,
( -4/5 |  6/5 ),-0.80000, 1.20000, -1.81713,  2.09824,   80,        1,
( -6/5 |  4/5 ),-1.20000, 0.80000, -2.72570,  0.52456,   80,        1,
(  2/5 | -6/5 ), 0.40000,-1.20000,  0.90857, -2.62280,   80,        1,
( -2/5 | -4/5 ),-0.40000,-0.80000, -0.90857, -2.62280,   80,        1,
(  9/10|  3/10), 0.90000, 0.30000,  2.04427,  1.96710,   81,        1,
(  6/5 | -3/10), 1.20000,-0.30000,  2.72570,  0.78684,   81,        1,
( -9/10|  6/5 ),-0.90000, 1.20000, -2.04427,  1.96710,   81,        1,
( -6/5 |  9/10),-1.20000, 0.90000, -2.72570,  0.78684,   81,        1,
(  3/10| -6/5 ), 0.30000,-1.20000,  0.68142, -2.75394,   81,        1,
( -3/10| -9/10),-0.30000,-0.90000, -0.68142, -2.75394,   81,        1,
(  3/10|  9/10), 0.30000, 0.90000,  0.68142,  2.75394,   82,        1,
( -3/10|  6/5 ),-0.30000, 1.20000, -0.68142,  2.75394,   82,        1,
(  6/5 | -9/10), 1.20000,-0.90000,  2.72570, -0.78684,   82,        1,
(  9/10| -6/5 ), 0.90000,-1.20000,  2.04427, -1.96710,   82,        1,
( -6/5 |  3/10),-1.20000, 0.30000, -2.72570, -0.78684,   82,        1,
( -9/10| -3/10),-0.90000,-0.30000, -2.04427, -1.96710,   82,        1,
( 11/10|  0   ), 1.10000, 0.00000,  2.49856,  1.44254,   83,        1,
(-11/10| 11/10),-1.10000, 1.10000, -2.49856,  1.44254,   83,        1,
(  0   |-11/10), 0.00000,-1.10000,  0.00000, -2.88508,   83,        1,
(  0   | 11/10), 0.00000, 1.10000,  0.00000,  2.88508,   84,        1,
( 11/10|-11/10), 1.10000,-1.10000,  2.49856, -1.44254,   84,        1,
(-11/10|  0   ),-1.10000, 0.00000, -2.49856, -1.44254,   84,        1,
(  1/5 |  1   ), 0.20000, 1.00000,  0.45428,  2.88508,   85,        1,
( -1/5 |  6/5 ),-0.20000, 1.20000, -0.45428,  2.88508,   85,        1,
(  6/5 | -1   ), 1.20000,-1.00000,  2.72570, -1.04912,   85,        1,
(  1   | -6/5 ), 1.00000,-1.20000,  2.27141, -1.83596,   85,        1,
( -6/5 |  1/5 ),-1.20000, 0.20000, -2.72570, -1.04912,   85,        1,
( -1   | -1/5 ),-1.00000,-0.20000, -2.27141, -1.83596,   85,        1,
(  1   |  1/5 ), 1.00000, 0.20000,  2.27141,  1.83596,   86,        1,
(  6/5 | -1/5 ), 1.20000,-0.20000,  2.72570,  1.04912,   86,        1,
( -1   |  6/5 ),-1.00000, 1.20000, -2.27141,  1.83596,   86,        1,
( -6/5 |  1   ),-1.20000, 1.00000, -2.72570,  1.04912,   86,        1,
(  1/5 | -6/5 ), 0.20000,-1.20000,  0.45428, -2.88508,   86,        1,
( -1/5 | -1   ),-0.20000,-1.00000, -0.45428, -2.88508,   86,        1,
(  3/5 |  7/10), 0.60000, 0.70000,  1.36285,  2.62280,   87,        1,
( -3/5 | 13/10),-0.60000, 1.30000, -1.36285,  2.62280,   87,        1,
( 13/10| -7/10), 1.30000,-0.70000,  2.95284, -0.13114,   87,        1,
(  7/10|-13/10), 0.70000,-1.30000,  1.58999, -2.49166,   87,        1,
(-13/10|  3/5 ),-1.30000, 0.60000, -2.95284, -0.13114,   87,        1,
( -7/10| -3/5 ),-0.70000,-0.60000, -1.58999, -2.49166,   87,        1,
(  7/10|  3/5 ), 0.70000, 0.60000,  1.58999,  2.49166,   88,        1,
( 13/10| -3/5 ), 1.30000,-0.60000,  2.95284,  0.13114,   88,        1,
( -7/10| 13/10),-0.70000, 1.30000, -1.58999,  2.49166,   88,        1,
(-13/10|  7/10),-1.30000, 0.70000, -2.95284,  0.13114,   88,        1,
(  3/5 |-13/10), 0.60000,-1.30000,  1.36285, -2.62280,   88,        1,
( -3/5 | -7/10),-0.60000,-0.70000, -1.36285, -2.62280,   88,        1,
(  1/2 |  4/5 ), 0.50000, 0.80000,  1.13571,  2.75394,   89,        1,
( -1/2 | 13/10),-0.50000, 1.30000, -1.13571,  2.75394,   89,        1,
( 13/10| -4/5 ), 1.30000,-0.80000,  2.95284, -0.39342,   89,        1,
(  4/5 |-13/10), 0.80000,-1.30000,  1.81713, -2.36052,   89,        1,
(-13/10|  1/2 ),-1.30000, 0.50000, -2.95284, -0.39342,   89,        1,
( -4/5 | -1/2 ),-0.80000,-0.50000, -1.81713, -2.36052,   89,        1,
(  4/5 |  1/2 ), 0.80000, 0.50000,  1.81713,  2.36052,   90,        1,
( 13/10| -1/2 ), 1.30000,-0.50000,  2.95284,  0.39342,   90,        1,
( -4/5 | 13/10),-0.80000, 1.30000, -1.81713,  2.36052,   90,        1,
(-13/10|  4/5 ),-1.30000, 0.80000, -2.95284,  0.39342,   90,        1,
(  1/2 |-13/10), 0.50000,-1.30000,  1.13571, -2.75394,   90,        1,
( -1/2 | -4/5 ),-0.50000,-0.80000, -1.13571, -2.75394,   90,        1,
(  9/10|  2/5 ), 0.90000, 0.40000,  2.04427,  2.22938,   91,        1,
( 13/10| -2/5 ), 1.30000,-0.40000,  2.95284,  0.65570,   91,        1,
( -9/10| 13/10),-0.90000, 1.30000, -2.04427,  2.22938,   91,        1,
(-13/10|  9/10),-1.30000, 0.90000, -2.95284,  0.65570,   91,        1,
(  2/5 |-13/10), 0.40000,-1.30000,  0.90857, -2.88508,   91,        1,
( -2/5 | -9/10),-0.40000,-0.90000, -0.90857, -2.88508,   91,        1,
(  2/5 |  9/10), 0.40000, 0.90000,  0.90857,  2.88508,   92,        1,
( -2/5 | 13/10),-0.40000, 1.30000, -0.90857,  2.88508,   92,        1,
( 13/10| -9/10), 1.30000,-0.90000,  2.95284, -0.65570,   92,        1,
(  9/10|-13/10), 0.90000,-1.30000,  2.04427, -2.22938,   92,        1,
(-13/10|  2/5 ),-1.30000, 0.40000, -2.95284, -0.65570,   92,        1,
( -9/10| -2/5 ),-0.90000,-0.40000, -2.04427, -2.22938,   92,        1,
(  1/10| 11/10), 0.10000, 1.10000,  0.22714,  3.01622,   93,        1,
( -1/10|  6/5 ),-0.10000, 1.20000, -0.22714,  3.01622,   93,        1,
(  6/5 |-11/10), 1.20000,-1.10000,  2.72570, -1.31140,   93,        1,
( 11/10| -6/5 ), 1.10000,-1.20000,  2.49856, -1.70482,   93,        1,
( -6/5 |  1/10),-1.20000, 0.10000, -2.72570, -1.31140,   93,        1,
(-11/10| -1/10),-1.10000,-0.10000, -2.49856, -1.70482,   93,        1,
( 11/10|  1/10), 1.10000, 0.10000,  2.49856,  1.70482,   94,        1,
(  6/5 | -1/10), 1.20000,-0.10000,  2.72570,  1.31140,   94,        1,
(-11/10|  6/5 ),-1.10000, 1.20000, -2.49856,  1.70482,   94,        1,
( -6/5 | 11/10),-1.20000, 1.10000, -2.72570,  1.31140,   94,        1,
(  1/10| -6/5 ), 0.10000,-1.20000,  0.22714, -3.01622,   94,        1,
( -1/10|-11/10),-0.10000,-1.10000, -0.22714, -3.01622,   94,        1,
(  3/10|  1   ), 0.30000, 1.00000,  0.68142,  3.01622,   95,        1,
( -3/10| 13/10),-0.30000, 1.30000, -0.68142,  3.01622,   95,        1,
( 13/10| -1   ), 1.30000,-1.00000,  2.95284, -0.91798,   95,        1,
(  1   |-13/10), 1.00000,-1.30000,  2.27141, -2.09824,   95,        1,
(-13/10|  3/10),-1.30000, 0.30000, -2.95284, -0.91798,   95,        1,
( -1   | -3/10),-1.00000,-0.30000, -2.27141, -2.09824,   95,        1,
(  1   |  3/10), 1.00000, 0.30000,  2.27141,  2.09824,   96,        1,
( 13/10| -3/10), 1.30000,-0.30000,  2.95284,  0.91798,   96,        1,
( -1   | 13/10),-1.00000, 1.30000, -2.27141,  2.09824,   96,        1,
(-13/10|  1   ),-1.30000, 1.00000, -2.95284,  0.91798,   96,        1,
(  3/10|-13/10), 0.30000,-1.30000,  0.68142, -3.01622,   96,        1,
( -3/10| -1   ),-0.30000,-1.00000, -0.68142, -3.01622,   96,        1,
(  6/5 |  0   ), 1.20000, 0.00000,  2.72570,  1.57368,   97,        1,
( -6/5 |  6/5 ),-1.20000, 1.20000, -2.72570,  1.57368,   97,        1,
(  0   | -6/5 ), 0.00000,-1.20000,  0.00000, -3.14736,   97,        1,
(  0   |  6/5 ), 0.00000, 1.20000,  0.00000,  3.14736,   98,        1,
(  6/5 | -6/5 ), 1.20000,-1.20000,  2.72570, -1.57368,   98,        1,
( -6/5 |  0   ),-1.20000, 0.00000, -2.72570, -1.57368,   98,        1,
(  7/10|  7/10), 0.70000, 0.70000,  1.58999,  2.75394,   99,        1,
(  7/5 | -7/10), 1.40000,-0.70000,  3.17998, -0.00000,   99,        1,
( -7/10|  7/5 ),-0.70000, 1.40000, -1.58999,  2.75394,   99,        1,
(  7/10| -7/5 ), 0.70000,-1.40000,  1.58999, -2.75394,   99,        1,
( -7/5 |  7/10),-1.40000, 0.70000, -3.17998,  0.00000,   99,        1,
( -7/10| -7/10),-0.70000,-0.70000, -1.58999, -2.75394,   99,        1,
( 11/10|  1/5 ), 1.10000, 0.20000,  2.49856,  1.96710,  100,        1,
( 13/10| -1/5 ), 1.30000,-0.20000,  2.95284,  1.18026,  100,        1,
(-11/10| 13/10),-1.10000, 1.30000, -2.49856,  1.96710,  100,        1,
(-13/10| 11/10),-1.30000, 1.10000, -2.95284,  1.18026,  100,        1,
(  1/5 |-13/10), 0.20000,-1.30000,  0.45428, -3.14736,  100,        1,
( -1/5 |-11/10),-0.20000,-1.10000, -0.45428, -3.14736,  100,        1,
(  1/5 | 11/10), 0.20000, 1.10000,  0.45428,  3.14736,  101,        1,
( -1/5 | 13/10),-0.20000, 1.30000, -0.45428,  3.14736,  101,        1,
( 13/10|-11/10), 1.30000,-1.10000,  2.95284, -1.18026,  101,        1,
( 11/10|-13/10), 1.10000,-1.30000,  2.49856, -1.96710,  101,        1,
(-13/10|  1/5 ),-1.30000, 0.20000, -2.95284, -1.18026,  101,        1,
(-11/10| -1/5 ),-1.10000,-0.20000, -2.49856, -1.96710,  101,        1,
(  3/5 |  4/5 ), 0.60000, 0.80000,  1.36285,  2.88508,  102,        1,
( -3/5 |  7/5 ),-0.60000, 1.40000, -1.36285,  2.88508,  102,        1,
(  7/5 | -4/5 ), 1.40000,-0.80000,  3.17998, -0.26228,  102,        1,
(  4/5 | -7/5 ), 0.80000,-1.40000,  1.81713, -2.62280,  102,        1,
( -7/5 |  3/5 ),-1.40000, 0.60000, -3.17998, -0.26228,  102,        1,
( -4/5 | -3/5 ),-0.80000,-0.60000, -1.81713, -2.62280,  102,        1,
(  4/5 |  3/5 ), 0.80000, 0.60000,  1.81713,  2.62280,  103,        1,
(  7/5 | -3/5 ), 1.40000,-0.60000,  3.17998,  0.26228,  103,        1,
( -4/5 |  7/5 ),-0.80000, 1.40000, -1.81713,  2.62280,  103,        1,
( -7/5 |  4/5 ),-1.40000, 0.80000, -3.17998,  0.26228,  103,        1,
(  3/5 | -7/5 ), 0.60000,-1.40000,  1.36285, -2.88508,  103,        1,
( -3/5 | -4/5 ),-0.60000,-0.80000, -1.36285, -2.88508,  103,        1,
(  9/10|  1/2 ), 0.90000, 0.50000,  2.04427,  2.49166,  104,        1,
(  7/5 | -1/2 ), 1.40000,-0.50000,  3.17998,  0.52456,  104,        1,
( -9/10|  7/5 ),-0.90000, 1.40000, -2.04427,  2.49166,  104,        1,
( -7/5 |  9/10),-1.40000, 0.90000, -3.17998,  0.52456,  104,        1,
(  1/2 | -7/5 ), 0.50000,-1.40000,  1.13571, -3.01622,  104,        1,
( -1/2 | -9/10),-0.50000,-0.90000, -1.13571, -3.01622,  104,        1,
(  1/2 |  9/10), 0.50000, 0.90000,  1.13571,  3.01622,  105,        1,
( -1/2 |  7/5 ),-0.50000, 1.40000, -1.13571,  3.01622,  105,        1,
(  7/5 | -9/10), 1.40000,-0.90000,  3.17998, -0.52456,  105,        1,
(  9/10| -7/5 ), 0.90000,-1.40000,  2.04427, -2.49166,  105,        1,
( -7/5 |  1/2 ),-1.40000, 0.50000, -3.17998, -0.52456,  105,        1,
( -9/10| -1/2 ),-0.90000,-0.50000, -2.04427, -2.49166,  105,        1,
(  2/5 |  1   ), 0.40000, 1.00000,  0.90857,  3.14736,  106,        1,
( -2/5 |  7/5 ),-0.40000, 1.40000, -0.90857,  3.14736,  106,        1,
(  7/5 | -1   ), 1.40000,-1.00000,  3.17998, -0.78684,  106,        1,
(  1   | -7/5 ), 1.00000,-1.40000,  2.27141, -2.36052,  106,        1,
( -7/5 |  2/5 ),-1.40000, 0.40000, -3.17998, -0.78684,  106,        1,
( -1   | -2/5 ),-1.00000,-0.40000, -2.27141, -2.36052,  106,        1,
(  1   |  2/5 ), 1.00000, 0.40000,  2.27141,  2.36052,  107,        1,
(  7/5 | -2/5 ), 1.40000,-0.40000,  3.17998,  0.78684,  107,        1,
( -1   |  7/5 ),-1.00000, 1.40000, -2.27141,  2.36052,  107,        1,
( -7/5 |  1   ),-1.40000, 1.00000, -3.17998,  0.78684,  107,        1,
(  2/5 | -7/5 ), 0.40000,-1.40000,  0.90857, -3.14736,  107,        1,
( -2/5 | -1   ),-0.40000,-1.00000, -0.90857, -3.14736,  107,        1,
(  6/5 |  1/10), 1.20000, 0.10000,  2.72570,  1.83596,  108,        1,
( 13/10| -1/10), 1.30000,-0.10000,  2.95284,  1.44254,  108,        1,
( -6/5 | 13/10),-1.20000, 1.30000, -2.72570,  1.83596,  108,        1,
(-13/10|  6/5 ),-1.30000, 1.20000, -2.95284,  1.44254,  108,        1,
(  1/10|-13/10), 0.10000,-1.30000,  0.22714, -3.27850,  108,        1,
