# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/LSMO(110)-(1x1).tlm
#
# Structure: LSMO(110)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 7.8100 AA; b = 5.5225 AA
#        Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
# Surface lattice: Rectangular (pg[1 0]); a = 7.8100 AA; b = 5.5225 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -1|  6), -1.00000,  6.00000, -0.80451,  6.82646,   89,        1,
(  1| -6),  1.00000, -6.00000,  0.80451, -6.82646,   90,        1,
(  1|  6),  1.00000,  6.00000,  0.80451,  6.82646,   90,        1,
( -5| -5), -5.00000, -5.00000, -4.02253, -5.68871,   91,        1,
( -5|  5), -5.00000,  5.00000, -4.02253,  5.68871,   91,        1,
(  5| -5),  5.00000, -5.00000,  4.02253, -5.68871,   92,        1,
(  5|  5),  5.00000,  5.00000,  4.02253,  5.68871,   92,        1,
( -2| -6), -2.00000, -6.00000, -1.60901, -6.82646,   93,        1,
( -2|  6), -2.00000,  6.00000, -1.60901,  6.82646,   93,        1,
(  2| -6),  2.00000, -6.00000,  1.60901, -6.82646,   94,        1,
(  2|  6),  2.00000,  6.00000,  1.60901,  6.82646,   94,        1,
( -9|  0), -9.00000,  0.00000, -7.24055,  0.00000,  -95,      (1),
(  9|  0),  9.00000,  0.00000,  7.24055,  0.00000,  -96,      (1),
( -7| -4), -7.00000, -4.00000, -5.63154, -4.55097,   97,        1,
( -7|  4), -7.00000,  4.00000, -5.63154,  4.55097,   97,        1,
(  7| -4),  7.00000, -4.00000,  5.63154, -4.55097,   98,        1,
(  7|  4),  7.00000,  4.00000,  5.63154,  4.55097,   98,        1,
( -3| -6), -3.00000, -6.00000, -2.41352, -6.82646,   99,        1,
( -3|  6), -3.00000,  6.00000, -2.41352,  6.82646,   99,        1,
(  3| -6),  3.00000, -6.00000,  2.41352, -6.82646,  100,        1,
(  3|  6),  3.00000,  6.00000,  2.41352,  6.82646,  100,        1,
( -8| -3), -8.00000, -3.00000, -6.43604, -3.41323,  101,        1,
( -8|  3), -8.00000,  3.00000, -6.43604,  3.41323,  101,        1,
(  8| -3),  8.00000, -3.00000,  6.43604, -3.41323,  102,        1,
(  8|  3),  8.00000,  3.00000,  6.43604,  3.41323,  102,        1,
( -9| -1), -9.00000, -1.00000, -7.24055, -1.13774,  103,        1,
( -9|  1), -9.00000,  1.00000, -7.24055,  1.13774,  103,        1,
(  9| -1),  9.00000, -1.00000,  7.24055, -1.13774,  104,        1,
(  9|  1),  9.00000,  1.00000,  7.24055,  1.13774,  104,        1,
( -6| -5), -6.00000, -5.00000, -4.82703, -5.68871,  105,        1,
( -6|  5), -6.00000,  5.00000, -4.82703,  5.68871,  105,        1,
(  6| -5),  6.00000, -5.00000,  4.82703, -5.68871,  106,        1,
(  6|  5),  6.00000,  5.00000,  4.82703,  5.68871,  106,        1,
( -4| -6), -4.00000, -6.00000, -3.21802, -6.82646,  107,        1,
( -4|  6), -4.00000,  6.00000, -3.21802,  6.82646,  107,        1,
(  4| -6),  4.00000, -6.00000,  3.21802, -6.82646,  108,        1,
(  4|  6),  4.00000,  6.00000,  3.21802,  6.82646,  108,        1,
( -9| -2), -9.00000, -2.00000, -7.24055, -2.27549,  109,        1,
( -9|  2), -9.00000,  2.00000, -7.24055,  2.27549,  109,        1,
(  9| -2),  9.00000, -2.00000,  7.24055, -2.27549,  110,        1,
(  9|  2),  9.00000,  2.00000,  7.24055,  2.27549,  110,        1,
( -8| -4), -8.00000, -4.00000, -6.43604, -4.55097,  111,        1,
( -8|  4), -8.00000,  4.00000, -6.43604,  4.55097,  111,        1,
(  8| -4),  8.00000, -4.00000,  6.43604, -4.55097,  112,        1,
(  8|  4),  8.00000,  4.00000,  6.43604,  4.55097,  112,        1,
( -5| -6), -5.00000, -6.00000, -4.02253, -6.82646,  113,        1,
( -5|  6), -5.00000,  6.00000, -4.02253,  6.82646,  113,        1,
(  5| -6),  5.00000, -6.00000,  4.02253, -6.82646,  114,        1,
(  5|  6),  5.00000,  6.00000,  4.02253,  6.82646,  114,        1,
(  0| -7),  0.00000, -7.00000,  0.00000, -7.96420,  115,        1,
(  0|  7),  0.00000,  7.00000,  0.00000,  7.96420,  115,        1,
( -9| -3), -9.00000, -3.00000, -7.24055, -3.41323,  116,        1,
( -9|  3), -9.00000,  3.00000, -7.24055,  3.41323,  116,        1,
(  9| -3),  9.00000, -3.00000,  7.24055, -3.41323,  117,        1,
(  9|  3),  9.00000,  3.00000,  7.24055,  3.41323,  117,        1,
( -7| -5), -7.00000, -5.00000, -5.63154, -5.68871,  118,        1,
( -7|  5), -7.00000,  5.00000, -5.63154,  5.68871,  118,        1,
(  7| -5),  7.00000, -5.00000,  5.63154, -5.68871,  119,        1,
(  7|  5),  7.00000,  5.00000,  5.63154,  5.68871,  119,        1,
( -1| -7), -1.00000, -7.00000, -0.80451, -7.96420,  120,        1,
( -1|  7), -1.00000,  7.00000, -0.80451,  7.96420,  120,        1,
(  1| -7),  1.00000, -7.00000,  0.80451, -7.96420,  121,        1,
(  1|  7),  1.00000,  7.00000,  0.80451,  7.96420,  121,        1,
(-10|  0),-10.00000,  0.00000, -8.04505,  0.00000,  122,        1,
( 10|  0), 10.00000,  0.00000,  8.04505,  0.00000,  123,        1,
(-10| -1),-10.00000, -1.00000, -8.04505, -1.13774,  124,        1,
(-10|  1),-10.00000,  1.00000, -8.04505,  1.13774,  124,        1,
( 10| -1), 10.00000, -1.00000,  8.04505, -1.13774,  125,        1,
( 10|  1), 10.00000,  1.00000,  8.04505,  1.13774,  125,        1,
( -2| -7), -2.00000, -7.00000, -1.60901, -7.96420,  126,        1,
( -2|  7), -2.00000,  7.00000, -1.60901,  7.96420,  126,        1,
(  2| -7),  2.00000, -7.00000,  1.60901, -7.96420,  127,        1,
(  2|  7),  2.00000,  7.00000,  1.60901,  7.96420,  127,        1,
( -3| -7), -3.00000, -7.00000, -2.41352, -7.96420,  128,        1,
( -3|  7), -3.00000,  7.00000, -2.41352,  7.96420,  128,        1,
(  3| -7),  3.00000, -7.00000,  2.41352, -7.96420,  129,        1,
(  3|  7),  3.00000,  7.00000,  2.41352,  7.96420,  129,        1,
(-10| -2),-10.00000, -2.00000, -8.04505, -2.27549,  130,        1,
(-10|  2),-10.00000,  2.00000, -8.04505,  2.27549,  130,        1,
( 10| -2), 10.00000, -2.00000,  8.04505, -2.27549,  131,        1,
( 10|  2), 10.00000,  2.00000,  8.04505,  2.27549,  131,        1,
( -6| -6), -6.00000, -6.00000, -4.82703, -6.82646,  132,        1,
( -6|  6), -6.00000,  6.00000, -4.82703,  6.82646,  132,        1,
(  6| -6),  6.00000, -6.00000,  4.82703, -6.82646,  133,        1,
(  6|  6),  6.00000,  6.00000,  4.82703,  6.82646,  133,        1,
( -9| -4), -9.00000, -4.00000, -7.24055, -4.55097,  134,        1,
( -9|  4), -9.00000,  4.00000, -7.24055,  4.55097,  134,        1,
(  9| -4),  9.00000, -4.00000,  7.24055, -4.55097,  135,        1,
(  9|  4),  9.00000,  4.00000,  7.24055,  4.55097,  135,        1,
( -8| -5), -8.00000, -5.00000, -6.43604, -5.68871,  136,        1,
( -8|  5), -8.00000,  5.00000, -6.43604,  5.68871,  136,        1,
(  8| -5),  8.00000, -5.00000,  6.43604, -5.68871,  137,        1,
(  8|  5),  8.00000,  5.00000,  6.43604,  5.68871,  137,        1,
( -4| -7), -4.00000, -7.00000, -3.21802, -7.96420,  138,        1,
( -4|  7), -4.00000,  7.00000, -3.21802,  7.96420,  138,        1,
(  4| -7),  4.00000, -7.00000,  3.21802, -7.96420,  139,        1,
(  4|  7),  4.00000,  7.00000,  3.21802,  7.96420,  139,        1,
(-10| -3),-10.00000, -3.00000, -8.04505, -3.41323,  140,        1,
(-10|  3),-10.00000,  3.00000, -8.04505,  3.41323,  140,        1,
( 10| -3), 10.00000, -3.00000,  8.04505, -3.41323,  141,        1,
( 10|  3), 10.00000,  3.00000,  8.04505,  3.41323,  141,        1,
(-11|  0),-11.00000,  0.00000, -8.84956,  0.00000, -142,      (1),
( 11|  0), 11.00000,  0.00000,  8.84956,  0.00000, -143,      (1),
( -7| -6), -7.00000, -6.00000, -5.63154, -6.82646,  144,        1,
( -7|  6), -7.00000,  6.00000, -5.63154,  6.82646,  144,        1,
(  7| -6),  7.00000, -6.00000,  5.63154, -6.82646,  145,        1,
(  7|  6),  7.00000,  6.00000,  5.63154,  6.82646,  145,        1,
(-11| -1),-11.00000, -1.00000, -8.84956, -1.13774,  146,        1,
(-11|  1),-11.00000,  1.00000, -8.84956,  1.13774,  146,        1,
( 11| -1), 11.00000, -1.00000,  8.84956, -1.13774,  147,        1,
( 11|  1), 11.00000,  1.00000,  8.84956,  1.13774,  147,        1,
